"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","78,927",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","67,405",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","63,704",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","3,701",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","878",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","5,324",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","2,225",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","4","406",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","13,474",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","9,952",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","9,433",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","519",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","180",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","2,343",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","643",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","16","111",""
