"Time","Ethnicity","£"
"2008/09 to 2010/11","All","127"
"2008/09 to 2010/11","Asian","76"
"2008/09 to 2010/11","Black","71"
"2008/09 to 2010/11","Mixed","113"
"2008/09 to 2010/11","White British","129"
"2008/09 to 2010/11","White other","116"
"2008/09 to 2010/11","Other","116"
"2009/10 to 2011/12","All","134"
"2009/10 to 2011/12","Asian","72"
"2009/10 to 2011/12","Black","70"
"2009/10 to 2011/12","Mixed","148"
"2009/10 to 2011/12","White British","136"
"2009/10 to 2011/12","White other","121"
"2009/10 to 2011/12","Other","128"
"2010/11 to 2012/13","All","136"
"2010/11 to 2012/13","Asian","78"
"2010/11 to 2012/13","Black","65"
"2010/11 to 2012/13","Mixed","?"
"2010/11 to 2012/13","White British","139"
"2010/11 to 2012/13","White other","110"
"2010/11 to 2012/13","Other","135"
"2011/12 to 2013/14","All","141"
"2011/12 to 2013/14","Asian","92"
"2011/12 to 2013/14","Black","67"
"2011/12 to 2013/14","Mixed","?"
"2011/12 to 2013/14","White British","144"
"2011/12 to 2013/14","White other","100"
"2011/12 to 2013/14","Other","148"
"2012/13 to 2014/15","All","145"
"2012/13 to 2014/15","Asian","89"
"2012/13 to 2014/15","Black","76"
"2012/13 to 2014/15","Mixed","146"
"2012/13 to 2014/15","White British","149"
"2012/13 to 2014/15","White other","103"
"2012/13 to 2014/15","Other","151"
"2013/14 to 2015/16","All","150"
"2013/14 to 2015/16","Asian","81"
"2013/14 to 2015/16","Black","76"
"2013/14 to 2015/16","Mixed","116"
"2013/14 to 2015/16","White British","154"
"2013/14 to 2015/16","White other","106"
"2013/14 to 2015/16","Other","141"
"2014/15 to 2016/17","All","155"
"2014/15 to 2016/17","Asian","73"
"2014/15 to 2016/17","Black","69"
"2014/15 to 2016/17","Mixed","93"
"2014/15 to 2016/17","White British","160"
"2014/15 to 2016/17","White other","104"
"2014/15 to 2016/17","Other","125"
"2015/16 to 2017/18","All","154"
"2015/16 to 2017/18","Asian","69"
"2015/16 to 2017/18","Black","62"
"2015/16 to 2017/18","Mixed","81"
"2015/16 to 2017/18","White British","160"
"2015/16 to 2017/18","White other","97"
"2015/16 to 2017/18","Other","131"
