"Ethnicity","Measure_type","%"
"All","Receiving income from State Pension","97"
"All","Receiving income from benefits (including State Pension)","100"
"All","Receiving income from disability benefits","20"
"All","Receiving income from earnings","17"
"All","Receiving income from income-related benefits","24"
"All","Receiving investment income","62"
"All","Receiving occupational pension income","61"
"All","Receiving other income","47"
"All","Receiving personal pension income","18"
"White British","Receiving income from State Pension","98"
"White British","Receiving income from benefits (including State Pension)","100"
"White British","Receiving income from disability benefits","20"
"White British","Receiving income from earnings","16"
"White British","Receiving income from income-related benefits","24"
"White British","Receiving investment income","63"
"White British","Receiving occupational pension income","62"
"White British","Receiving other income","47"
"White British","Receiving personal pension income","18"
"White Other","Receiving income from State Pension","87"
"White Other","Receiving income from benefits (including State Pension)","99"
"White Other","Receiving income from disability benefits","19"
"White Other","Receiving income from earnings","22"
"White Other","Receiving income from income-related benefits","31"
"White Other","Receiving investment income","53"
"White Other","Receiving occupational pension income","42"
"White Other","Receiving other income","42"
"White Other","Receiving personal pension income","13"
"Black","Receiving income from State Pension","94"
"Black","Receiving income from benefits (including State Pension)","99"
"Black","Receiving income from disability benefits","21"
"Black","Receiving income from earnings","21"
"Black","Receiving income from income-related benefits","40"
"Black","Receiving investment income","28"
"Black","Receiving occupational pension income","42"
"Black","Receiving other income","48"
"Black","Receiving personal pension income","8"
"Asian","Receiving income from State Pension","85"
"Asian","Receiving income from benefits (including State Pension)","99"
"Asian","Receiving income from disability benefits","19"
"Asian","Receiving income from earnings","15"
"Asian","Receiving income from income-related benefits","36"
"Asian","Receiving investment income","32"
"Asian","Receiving occupational pension income","31"
"Asian","Receiving other income","41"
"Asian","Receiving personal pension income","9"
"Mixed","Receiving income from State Pension","?"
"Mixed","Receiving income from benefits (including State Pension)","?"
"Mixed","Receiving income from disability benefits","?"
"Mixed","Receiving income from earnings","?"
"Mixed","Receiving income from income-related benefits","?"
"Mixed","Receiving investment income","?"
"Mixed","Receiving occupational pension income","?"
"Mixed","Receiving other income","?"
"Mixed","Receiving personal pension income","?"
"Other","Receiving income from State Pension","?"
"Other","Receiving income from benefits (including State Pension)","?"
"Other","Receiving income from disability benefits","?"
"Other","Receiving income from earnings","?"
"Other","Receiving income from income-related benefits","?"
"Other","Receiving investment income","?"
"Other","Receiving occupational pension income","?"
"Other","Receiving other income","?"
"Other","Receiving personal pension income","?"
