"Time","Ethnicity","£"
"2008/09 to 2010/11","All","510"
"2008/09 to 2010/11","Asian","429"
"2008/09 to 2010/11","Black","403"
"2008/09 to 2010/11","Mixed","448"
"2008/09 to 2010/11","White British","513"
"2008/09 to 2010/11","White other","502"
"2008/09 to 2010/11","Other","491"
"2009/10 to 2011/12","All","516"
"2009/10 to 2011/12","Asian","445"
"2009/10 to 2011/12","Black","403"
"2009/10 to 2011/12","Mixed","517"
"2009/10 to 2011/12","White British","519"
"2009/10 to 2011/12","White other","507"
"2009/10 to 2011/12","Other","496"
"2010/11 to 2012/13","All","511"
"2010/11 to 2012/13","Asian","447"
"2010/11 to 2012/13","Black","377"
"2010/11 to 2012/13","Mixed","?"
"2010/11 to 2012/13","White British","515"
"2010/11 to 2012/13","White other","488"
"2010/11 to 2012/13","Other","547"
"2011/12 to 2013/14","All","509"
"2011/12 to 2013/14","Asian","465"
"2011/12 to 2013/14","Black","369"
"2011/12 to 2013/14","Mixed","?"
"2011/12 to 2013/14","White British","513"
"2011/12 to 2013/14","White other","479"
"2011/12 to 2013/14","Other","554"
"2012/13 to 2014/15","All","519"
"2012/13 to 2014/15","Asian","435"
"2012/13 to 2014/15","Black","382"
"2012/13 to 2014/15","Mixed","455"
"2012/13 to 2014/15","White British","523"
"2012/13 to 2014/15","White other","474"
"2012/13 to 2014/15","Other","628"
"2013/14 to 2015/16","All","525"
"2013/14 to 2015/16","Asian","410"
"2013/14 to 2015/16","Black","384"
"2013/14 to 2015/16","Mixed","493"
"2013/14 to 2015/16","White British","532"
"2013/14 to 2015/16","White other","477"
"2013/14 to 2015/16","Other","591"
"2014/15 to 2016/17","All","534"
"2014/15 to 2016/17","Asian","408"
"2014/15 to 2016/17","Black","387"
"2014/15 to 2016/17","Mixed","509"
"2014/15 to 2016/17","White British","540"
"2014/15 to 2016/17","White other","486"
"2014/15 to 2016/17","Other","628"
"2015/16 to 2017/18","All","533"
"2015/16 to 2017/18","Asian","387"
"2015/16 to 2017/18","Black","371"
"2015/16 to 2017/18","Mixed","485"
"2015/16 to 2017/18","White British","541"
"2015/16 to 2017/18","White other","478"
"2015/16 to 2017/18","Other","578"
