"Time","Ethnicity","£"
"2008/09 to 2010/11","All","166"
"2008/09 to 2010/11","Asian","138"
"2008/09 to 2010/11","Black","132"
"2008/09 to 2010/11","Mixed","136"
"2008/09 to 2010/11","White British","168"
"2008/09 to 2010/11","White other","154"
"2008/09 to 2010/11","Other","147"
"2009/10 to 2011/12","All","170"
"2009/10 to 2011/12","Asian","135"
"2009/10 to 2011/12","Black","141"
"2009/10 to 2011/12","Mixed","142"
"2009/10 to 2011/12","White British","172"
"2009/10 to 2011/12","White other","148"
"2009/10 to 2011/12","Other","149"
"2010/11 to 2012/13","All","172"
"2010/11 to 2012/13","Asian","127"
"2010/11 to 2012/13","Black","136"
"2010/11 to 2012/13","Mixed","?"
"2010/11 to 2012/13","White British","174"
"2010/11 to 2012/13","White other","147"
"2010/11 to 2012/13","Other","135"
"2011/12 to 2013/14","All","174"
"2011/12 to 2013/14","Asian","127"
"2011/12 to 2013/14","Black","135"
"2011/12 to 2013/14","Mixed","?"
"2011/12 to 2013/14","White British","177"
"2011/12 to 2013/14","White other","147"
"2011/12 to 2013/14","Other","133"
"2012/13 to 2014/15","All","178"
"2012/13 to 2014/15","Asian","130"
"2012/13 to 2014/15","Black","133"
"2012/13 to 2014/15","Mixed","156"
"2012/13 to 2014/15","White British","180"
"2012/13 to 2014/15","White other","153"
"2012/13 to 2014/15","Other","137"
"2013/14 to 2015/16","All","180"
"2013/14 to 2015/16","Asian","134"
"2013/14 to 2015/16","Black","138"
"2013/14 to 2015/16","Mixed","154"
"2013/14 to 2015/16","White British","183"
"2013/14 to 2015/16","White other","150"
"2013/14 to 2015/16","Other","152"
"2014/15 to 2016/17","All","184"
"2014/15 to 2016/17","Asian","135"
"2014/15 to 2016/17","Black","135"
"2014/15 to 2016/17","Mixed","150"
"2014/15 to 2016/17","White British","187"
"2014/15 to 2016/17","White other","149"
"2014/15 to 2016/17","Other","143"
"2015/16 to 2017/18","All","186"
"2015/16 to 2017/18","Asian","134"
"2015/16 to 2017/18","Black","139"
"2015/16 to 2017/18","Mixed","160"
"2015/16 to 2017/18","White British","190"
"2015/16 to 2017/18","White other","149"
"2015/16 to 2017/18","Other","144"
"2016/17 to 2018/19","All","189"
"2016/17 to 2018/19","Asian","141"
"2016/17 to 2018/19","Black","142"
"2016/17 to 2018/19","Mixed","177"
"2016/17 to 2018/19","White British","192"
"2016/17 to 2018/19","White other","151"
"2016/17 to 2018/19","Other","144"
