"","All","Asian","Black","Mixed","White","White British","White Other","Other"
"3 year period","£","£","£","£","£","£","£","£"
"2008/09 to 2010/11","133","79","74","118","134","135","121","120"
"2009/10 to 2011/12","139","75","72","154","142","142","126","134"
"2010/11 to 2012/13","142","81","68","?","144","145","115","140"
"2011/12 to 2013/14","146","96","70","?","149","150","105","154"
"2012/13 to 2014/15","151","93","80","152","154","155","108","157"
"2013/14 to 2015/16","156","84","79","121","160","161","111","144"
"2014/15 to 2016/17","162","76","71","97","166","167","109","127"
"2015/16 to 2017/18","161","72","65","85","165","166","102","134"
"2016/17 to 2018/19","164","71","75","101","168","170","106","114"
"2017/18 to 2019/20","164","69","72","120","169","171","101","132"
