"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Measure_type","Value","Value_type","Note"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit income","228","£",""
"Gross income, £ per week","2009/10; 2010/11; 2011/12","3-Year average","All","ONS 5+2","Benefit income","230","£",""
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Benefit income","230","£",""
"Gross income, £ per week","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Benefit income","229","£",""
"Gross income, £ per week","2012/13; 2013/14; 2014/15","3-Year average","All","ONS 5+2","Benefit income","231","£",""
"Gross income, £ per week","2013/14; 2014/15; 2015/16","3-Year average","All","ONS 5+2","Benefit income","231","£",""
"Gross income, £ per week","2014/15; 2015/16; 2016/17","3-Year average","All","ONS 5+2","Benefit income","235","£",""
"Gross income, £ per week","2015/16; 2016/17; 2017/18","3-Year average","All","ONS 5+2","Benefit income","237","£",""
"Gross income, £ per week","2016/17; 2017/18; 2018/19","3-Year average","All","ONS 5+2","Benefit income","240","£",""
"Gross income, £ per week","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","Benefit income","242","£",""
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","20","£",""
"Gross income, £ per week","2009/10; 2010/11; 2011/12","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","20","£",""
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","20","£",""
"Gross income, £ per week","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","19","£",""
"Gross income, £ per week","2012/13; 2013/14; 2014/15","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","18","£",""
"Gross income, £ per week","2013/14; 2014/15; 2015/16","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","17","£",""
"Gross income, £ per week","2014/15; 2015/16; 2016/17","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","18","£",""
"Gross income, £ per week","2015/16; 2016/17; 2017/18","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","18","£",""
"Gross income, £ per week","2016/17; 2017/18; 2018/19","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","18","£",""
"Gross income, £ per week","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","18","£",""
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","28","£",""
"Gross income, £ per week","2009/10; 2010/11; 2011/12","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","27","£",""
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","26","£",""
"Gross income, £ per week","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","25","£",""
"Gross income, £ per week","2012/13; 2013/14; 2014/15","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","25","£",""
"Gross income, £ per week","2013/14; 2014/15; 2015/16","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","24","£",""
"Gross income, £ per week","2014/15; 2015/16; 2016/17","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","23","£",""
"Gross income, £ per week","2015/16; 2016/17; 2017/18","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","23","£",""
"Gross income, £ per week","2016/17; 2017/18; 2018/19","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","22","£",""
"Gross income, £ per week","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","22","£",""
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","169","£",""
"Gross income, £ per week","2009/10; 2010/11; 2011/12","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","173","£",""
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","175","£",""
"Gross income, £ per week","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","177","£",""
"Gross income, £ per week","2012/13; 2013/14; 2014/15","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","181","£",""
"Gross income, £ per week","2013/14; 2014/15; 2015/16","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","183","£",""
"Gross income, £ per week","2014/15; 2015/16; 2016/17","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","187","£",""
"Gross income, £ per week","2015/16; 2016/17; 2017/18","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","190","£",""
"Gross income, £ per week","2016/17; 2017/18; 2018/19","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","192","£",""
"Gross income, £ per week","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","194","£",""
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Earnings income","105","£",""
"Gross income, £ per week","2009/10; 2010/11; 2011/12","3-Year average","All","ONS 5+2","Earnings income","105","£",""
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Earnings income","99","£",""
"Gross income, £ per week","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Earnings income","92","£",""
"Gross income, £ per week","2012/13; 2013/14; 2014/15","3-Year average","All","ONS 5+2","Earnings income","91","£",""
"Gross income, £ per week","2013/14; 2014/15; 2015/16","3-Year average","All","ONS 5+2","Earnings income","90","£",""
"Gross income, £ per week","2014/15; 2015/16; 2016/17","3-Year average","All","ONS 5+2","Earnings income","90","£",""
"Gross income, £ per week","2015/16; 2016/17; 2017/18","3-Year average","All","ONS 5+2","Earnings income","90","£",""
"Gross income, £ per week","2016/17; 2017/18; 2018/19","3-Year average","All","ONS 5+2","Earnings income","87","£",""
"Gross income, £ per week","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","Earnings income","83","£",""
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Gross income","531","£",""
"Gross income, £ per week","2009/10; 2010/11; 2011/12","3-Year average","All","ONS 5+2","Gross income","538","£",""
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Gross income","532","£",""
"Gross income, £ per week","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Gross income","531","£",""
"Gross income, £ per week","2012/13; 2013/14; 2014/15","3-Year average","All","ONS 5+2","Gross income","540","£",""
"Gross income, £ per week","2013/14; 2014/15; 2015/16","3-Year average","All","ONS 5+2","Gross income","547","£",""
"Gross income, £ per week","2014/15; 2015/16; 2016/17","3-Year average","All","ONS 5+2","Gross income","556","£",""
"Gross income, £ per week","2015/16; 2016/17; 2017/18","3-Year average","All","ONS 5+2","Gross income","556","£",""
"Gross income, £ per week","2016/17; 2017/18; 2018/19","3-Year average","All","ONS 5+2","Gross income","558","£",""
"Gross income, £ per week","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","Gross income","556","£",""
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Investment income","43","£",""
"Gross income, £ per week","2009/10; 2010/11; 2011/12","3-Year average","All","ONS 5+2","Investment income","40","£",""
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Investment income","38","£",""
"Gross income, £ per week","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Investment income","39","£",""
"Gross income, £ per week","2012/13; 2013/14; 2014/15","3-Year average","All","ONS 5+2","Investment income","41","£",""
"Gross income, £ per week","2013/14; 2014/15; 2015/16","3-Year average","All","ONS 5+2","Investment income","45","£",""
"Gross income, £ per week","2014/15; 2015/16; 2016/17","3-Year average","All","ONS 5+2","Investment income","43","£",""
