"","All","Asian","Black","Mixed","Other","White","White British","White Other"
"Income","£","£","£","£","£","£","£","£"
"Benefit Income of which Disability benefits","18","18","19","10","12","18","18","16"
"Benefit Income of which Income-related benefits","22","43","47","45","42","21","20","41"
"Benefit Income of which State Pension","194","145","150","178","152","197","198","155"
"Benefit income","242","216","222","238","216","243","244","220"
"Earnings income","83","76","91","87","103","82","82","107"
"Gross income","556","391","412","515","543","564","566","481"
"Investment income","45","22","19","49","77","46","46","35"
"Occupational pension income","164","69","72","120","132","169","171","101"
"Other income","4","2","5","2","7","4","4","3"
"Personal pension income","18","5","4","18","8","19","19","15"
