"","All","Asian","Black","Mixed","White","White British","White Other","Other"
"3 year period","£","£","£","£","£","£","£","£"
"2008/09 to 2010/11","531","447","420","467","534","535","523","511"
"2009/10 to 2011/12","538","463","420","539","541","541","529","517"
"2010/11 to 2012/13","532","466","393","?","536","536","508","570"
"2011/12 to 2013/14","531","484","385","?","534","535","499","577"
"2012/13 to 2014/15","540","453","398","474","544","545","494","654"
"2013/14 to 2015/16","547","427","400","513","552","554","498","607"
"2014/15 to 2016/17","556","425","404","530","561","563","507","646"
"2015/16 to 2017/18","556","404","387","506","562","564","499","595"
"2016/17 to 2018/19","558","408","433","563","564","566","496","529"
"2017/18 to 2019/20","556","391","412","515","564","566","481","543"
