"Ethnicity","Income","£"
"All","Benefit Income of which Disability benefits","18"
"All","Benefit Income of which Income-related benefits","22"
"All","Benefit Income of which State Pension","194"
"All","Benefit income","242"
"All","Earnings income","83"
"All","Gross income","556"
"All","Investment income","45"
"All","Occupational pension income","164"
"All","Other income","4"
"All","Personal pension income","18"
"Asian","Benefit Income of which Disability benefits","18"
"Asian","Benefit Income of which Income-related benefits","43"
"Asian","Benefit Income of which State Pension","145"
"Asian","Benefit income","216"
"Asian","Earnings income","76"
"Asian","Gross income","391"
"Asian","Investment income","22"
"Asian","Occupational pension income","69"
"Asian","Other income","2"
"Asian","Personal pension income","5"
"Black","Benefit Income of which Disability benefits","19"
"Black","Benefit Income of which Income-related benefits","47"
"Black","Benefit Income of which State Pension","150"
"Black","Benefit income","222"
"Black","Earnings income","91"
"Black","Gross income","412"
"Black","Investment income","19"
"Black","Occupational pension income","72"
"Black","Other income","5"
"Black","Personal pension income","4"
"Mixed","Benefit Income of which Disability benefits","10"
"Mixed","Benefit Income of which Income-related benefits","45"
"Mixed","Benefit Income of which State Pension","178"
"Mixed","Benefit income","238"
"Mixed","Earnings income","87"
"Mixed","Gross income","515"
"Mixed","Investment income","49"
"Mixed","Occupational pension income","120"
"Mixed","Other income","2"
"Mixed","Personal pension income","18"
"Other","Benefit Income of which Disability benefits","12"
"Other","Benefit Income of which Income-related benefits","42"
"Other","Benefit Income of which State Pension","152"
"Other","Benefit income","216"
"Other","Earnings income","103"
"Other","Gross income","543"
"Other","Investment income","77"
"Other","Occupational pension income","132"
"Other","Other income","7"
"Other","Personal pension income","8"
"White","Benefit Income of which Disability benefits","18"
"White","Benefit Income of which Income-related benefits","21"
"White","Benefit Income of which State Pension","197"
"White","Benefit income","243"
"White","Earnings income","82"
"White","Gross income","564"
"White","Investment income","46"
"White","Occupational pension income","169"
"White","Other income","4"
"White","Personal pension income","19"
"White British","Benefit Income of which Disability benefits","18"
"White British","Benefit Income of which Income-related benefits","20"
"White British","Benefit Income of which State Pension","198"
"White British","Benefit income","244"
"White British","Earnings income","82"
"White British","Gross income","566"
"White British","Investment income","46"
"White British","Occupational pension income","171"
"White British","Other income","4"
"White British","Personal pension income","19"
"White Other","Benefit Income of which Disability benefits","16"
"White Other","Benefit Income of which Income-related benefits","41"
"White Other","Benefit Income of which State Pension","155"
"White Other","Benefit income","220"
"White Other","Earnings income","107"
"White Other","Gross income","481"
"White Other","Investment income","35"
"White Other","Occupational pension income","101"
"White Other","Other income","3"
"White Other","Personal pension income","15"
