"Time","Ethnicity","£"
"2008/09 to 2010/11","All","522"
"2008/09 to 2010/11","Asian","439"
"2008/09 to 2010/11","Black","412"
"2008/09 to 2010/11","Mixed","459"
"2008/09 to 2010/11","White British","526"
"2008/09 to 2010/11","White other","514"
"2008/09 to 2010/11","Other","502"
"2009/10 to 2011/12","All","528"
"2009/10 to 2011/12","Asian","455"
"2009/10 to 2011/12","Black","413"
"2009/10 to 2011/12","Mixed","530"
"2009/10 to 2011/12","White British","532"
"2009/10 to 2011/12","White other","520"
"2009/10 to 2011/12","Other","508"
"2010/11 to 2012/13","All","523"
"2010/11 to 2012/13","Asian","458"
"2010/11 to 2012/13","Black","386"
"2010/11 to 2012/13","Mixed","?"
"2010/11 to 2012/13","White British","527"
"2010/11 to 2012/13","White other","500"
"2010/11 to 2012/13","Other","560"
"2011/12 to 2013/14","All","522"
"2011/12 to 2013/14","Asian","476"
"2011/12 to 2013/14","Black","378"
"2011/12 to 2013/14","Mixed","?"
"2011/12 to 2013/14","White British","525"
"2011/12 to 2013/14","White other","490"
"2011/12 to 2013/14","Other","567"
"2012/13 to 2014/15","All","531"
"2012/13 to 2014/15","Asian","446"
"2012/13 to 2014/15","Black","391"
"2012/13 to 2014/15","Mixed","466"
"2012/13 to 2014/15","White British","536"
"2012/13 to 2014/15","White other","486"
"2012/13 to 2014/15","Other","643"
"2013/14 to 2015/16","All","538"
"2013/14 to 2015/16","Asian","420"
"2013/14 to 2015/16","Black","393"
"2013/14 to 2015/16","Mixed","505"
"2013/14 to 2015/16","White British","544"
"2013/14 to 2015/16","White other","489"
"2013/14 to 2015/16","Other","596"
"2014/15 to 2016/17","All","546"
"2014/15 to 2016/17","Asian","417"
"2014/15 to 2016/17","Black","397"
"2014/15 to 2016/17","Mixed","521"
"2014/15 to 2016/17","White British","553"
"2014/15 to 2016/17","White other","498"
"2014/15 to 2016/17","Other","635"
"2015/16 to 2017/18","All","546"
"2015/16 to 2017/18","Asian","397"
"2015/16 to 2017/18","Black","380"
"2015/16 to 2017/18","Mixed","497"
"2015/16 to 2017/18","White British","554"
"2015/16 to 2017/18","White other","490"
"2015/16 to 2017/18","Other","584"
"2016/17 to 2018/19","All","548"
"2016/17 to 2018/19","Asian","401"
"2016/17 to 2018/19","Black","425"
"2016/17 to 2018/19","Mixed","553"
"2016/17 to 2018/19","White British","556"
"2016/17 to 2018/19","White other","487"
"2016/17 to 2018/19","Other","520"
