"Time","Ethnicity","%"
"2008/09 to 2010/11","All","22"
"2008/09 to 2010/11","Asian","41"
"2008/09 to 2010/11","Bangladeshi","63"
"2008/09 to 2010/11","Chinese","31"
"2008/09 to 2010/11","Indian","30"
"2008/09 to 2010/11","Pakistani","52"
"2008/09 to 2010/11","Asian other","41"
"2008/09 to 2010/11","Black","42"
"2008/09 to 2010/11","Mixed","36"
"2008/09 to 2010/11","White","20"
"2008/09 to 2010/11","White British","19"
"2008/09 to 2010/11","White other","27"
"2008/09 to 2010/11","Other","42"
"2009/10 to 2011/12","All","21"
"2009/10 to 2011/12","Asian","39"
"2009/10 to 2011/12","Bangladeshi","53"
"2009/10 to 2011/12","Chinese","40"
"2009/10 to 2011/12","Indian","27"
"2009/10 to 2011/12","Pakistani","52"
"2009/10 to 2011/12","Asian other","41"
"2009/10 to 2011/12","Black","39"
"2009/10 to 2011/12","Mixed","40"
"2009/10 to 2011/12","White","19"
"2009/10 to 2011/12","White British","19"
"2009/10 to 2011/12","White other","28"
"2009/10 to 2011/12","Other","42"
"2010/11 to 2012/13","All","21"
"2010/11 to 2012/13","Asian","39"
"2010/11 to 2012/13","Bangladeshi","57"
"2010/11 to 2012/13","Chinese","46"
"2010/11 to 2012/13","Indian","25"
"2010/11 to 2012/13","Pakistani","48"
"2010/11 to 2012/13","Asian other","42"
"2010/11 to 2012/13","Black","39"
"2010/11 to 2012/13","Mixed","38"
"2010/11 to 2012/13","White","19"
"2010/11 to 2012/13","White British","18"
"2010/11 to 2012/13","White other","28"
"2010/11 to 2012/13","Other","40"
"2011/12 to 2013/14","All","21"
"2011/12 to 2013/14","Asian","37"
"2011/12 to 2013/14","Bangladeshi","52"
"2011/12 to 2013/14","Chinese","49"
"2011/12 to 2013/14","Indian","24"
"2011/12 to 2013/14","Pakistani","46"
"2011/12 to 2013/14","Asian other","38"
"2011/12 to 2013/14","Black","41"
"2011/12 to 2013/14","Mixed","34"
"2011/12 to 2013/14","White","19"
"2011/12 to 2013/14","White British","18"
"2011/12 to 2013/14","White other","29"
"2011/12 to 2013/14","Other","41"
"2012/13 to 2014/15","All","21"
"2012/13 to 2014/15","Asian","36"
"2012/13 to 2014/15","Bangladeshi","52"
"2012/13 to 2014/15","Chinese","38"
"2012/13 to 2014/15","Indian","26"
"2012/13 to 2014/15","Pakistani","44"
"2012/13 to 2014/15","Asian other","35"
"2012/13 to 2014/15","Black","40"
"2012/13 to 2014/15","Mixed","26"
"2012/13 to 2014/15","White","19"
"2012/13 to 2014/15","White British","19"
"2012/13 to 2014/15","White other","27"
"2012/13 to 2014/15","Other","44"
"2013/14 to 2015/16","All","21"
"2013/14 to 2015/16","Asian","35"
"2013/14 to 2015/16","Bangladeshi","50"
"2013/14 to 2015/16","Chinese","35"
"2013/14 to 2015/16","Indian","24"
"2013/14 to 2015/16","Pakistani","46"
"2013/14 to 2015/16","Asian other","32"
"2013/14 to 2015/16","Black","40"
"2013/14 to 2015/16","Mixed","29"
"2013/14 to 2015/16","White","19"
"2013/14 to 2015/16","White British","19"
"2013/14 to 2015/16","White other","28"
"2013/14 to 2015/16","Other","46"
"2014/15 to 2016/17","All","22"
"2014/15 to 2016/17","Asian","35"
"2014/15 to 2016/17","Bangladeshi","49"
"2014/15 to 2016/17","Chinese","29"
"2014/15 to 2016/17","Indian","24"
"2014/15 to 2016/17","Pakistani","48"
"2014/15 to 2016/17","Asian other","33"
"2014/15 to 2016/17","Black","42"
"2014/15 to 2016/17","Mixed","32"
"2014/15 to 2016/17","White","20"
"2014/15 to 2016/17","White British","19"
"2014/15 to 2016/17","White other","28"
"2014/15 to 2016/17","Other","44"
"2015/16 to 2017/18","All","22"
"2015/16 to 2017/18","Asian","36"
"2015/16 to 2017/18","Bangladeshi","50"
"2015/16 to 2017/18","Chinese","33"
"2015/16 to 2017/18","Indian","23"
"2015/16 to 2017/18","Pakistani","46"
"2015/16 to 2017/18","Asian other","38"
"2015/16 to 2017/18","Black","42"
"2015/16 to 2017/18","Mixed","36"
"2015/16 to 2017/18","White","20"
"2015/16 to 2017/18","White British","19"
"2015/16 to 2017/18","White other","28"
"2015/16 to 2017/18","Other","42"
"2016/17 to 2018/19","All","22"
"2016/17 to 2018/19","Asian","37"
"2016/17 to 2018/19","Bangladeshi","53"
"2016/17 to 2018/19","Chinese","34"
"2016/17 to 2018/19","Indian","24"
"2016/17 to 2018/19","Pakistani","46"
"2016/17 to 2018/19","Asian other","41"
"2016/17 to 2018/19","Black","42"
"2016/17 to 2018/19","Mixed","34"
"2016/17 to 2018/19","White","19"
"2016/17 to 2018/19","White British","19"
"2016/17 to 2018/19","White other","27"
"2016/17 to 2018/19","Other","40"
