"Age Bracket","Ethnicity","%"
"All","All","22"
"All","Asian","37"
"All","Bangladeshi","55"
"All","Chinese","30"
"All","Indian","24"
"All","Pakistani","47"
"All","Asian other","42"
"All","Black","40"
"All","Mixed","32"
"All","White","19"
"All","White British","19"
"All","White other","26"
"All","Other","40"
"Children","All","30"
"Children","Asian","45"
"Children","Bangladeshi","68"
"Children","Chinese","29"
"Children","Indian","26"
"Children","Pakistani","53"
"Children","Asian other","51"
"Children","Black","48"
"Children","Mixed","44"
"Children","White","26"
"Children","White British","25"
"Children","White other","35"
"Children","Other","51"
"Working-age","All","21"
"Working-age","Asian","34"
"Working-age","Bangladeshi","49"
"Working-age","Chinese","30"
"Working-age","Indian","21"
"Working-age","Pakistani","44"
"Working-age","Asian other","39"
"Working-age","Black","36"
"Working-age","Mixed","27"
"Working-age","White","18"
"Working-age","White British","18"
"Working-age","White other","23"
"Working-age","Other","36"
"Pensioners","All","17"
"Pensioners","Asian","33"
"Pensioners","Bangladeshi","?"
"Pensioners","Chinese","?"
"Pensioners","Indian","33"
"Pensioners","Pakistani","38"
"Pensioners","Asian other","?"
"Pensioners","Black","30"
"Pensioners","Mixed","?"
"Pensioners","White","16"
"Pensioners","White British","16"
"Pensioners","White other","23"
"Pensioners","Other","?"
