"Age Bracket","Ethnicity","%"
"All","All","17"
"All","Asian","27"
"All","Bangladeshi","31"
"All","Chinese","27"
"All","Indian","17"
"All","Pakistani","40"
"All","Asian other","25"
"All","Black","27"
"All","Mixed","19"
"All","White","15"
"All","White British","15"
"All","White other","16"
"All","Other","25"
"Children","All","21"
"Children","Asian","32"
"Children","Bangladeshi","41"
"Children","Chinese","32"
"Children","Indian","17"
"Children","Pakistani","45"
"Children","Asian other","27"
"Children","Black","29"
"Children","Mixed","28"
"Children","White","18"
"Children","White British","17"
"Children","White other","23"
"Children","Other","33"
"Working-age","All","15"
"Working-age","Asian","25"
"Working-age","Bangladeshi","27"
"Working-age","Chinese","25"
"Working-age","Indian","16"
"Working-age","Pakistani","36"
"Working-age","Asian other","24"
"Working-age","Black","25"
"Working-age","Mixed","16"
"Working-age","White","14"
"Working-age","White British","14"
"Working-age","White other","13"
"Working-age","Other","21"
"Pensioners","All","18"
"Pensioners","Asian","31"
"Pensioners","Bangladeshi","?"
"Pensioners","Chinese","?"
"Pensioners","Indian","32"
"Pensioners","Pakistani","45"
"Pensioners","Asian other","?"
"Pensioners","Black","23"
"Pensioners","Mixed","?"
"Pensioners","White","17"
"Pensioners","White British","17"
"Pensioners","White other","21"
"Pensioners","Other","?"
