"","2008/09 to 2010/11","2009/10 to 2011/12","2010/11 to 2012/13","2011/12 to 2013/14","2012/13 to 2014/15","2013/14 to 2015/16","2014/15 to 2016/17","2015/16 to 2017/18","2016/17 to 2018/19"
"Ethnicity","%","%","%","%","%","%","%","%","%"
"All","17","16","16","15","16","16","16","17","17"
"Asian","32","29","29","27","27","27","26","26","27"
"Bangladeshi","51","42","41","35","38","39","35","33","31"
"Chinese","21","26","32","31","23","21","21","26","27"
"Indian","23","20","19","17","20","19","18","17","17"
"Pakistani","45","44","42","39","38","38","40","39","40"
"Asian other","22","23","23","21","20","18","18","21","25"
"Black","29","24","24","25","23","25","25","27","27"
"Mixed","22","23","20","19","15","19","20","24","19"
"White","15","15","14","14","14","15","15","15","15"
"White British","15","15","14","14","14","14","15","15","15"
"White other","15","16","16","17","16","16","16","16","16"
"Other","29","28","25","25","25","26","24","27","25"
