"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16","2014/15-2016/17","2015/16-2017/18","2016/17-2018/19"
"Ethnicity","%","%","%","%","%","%","%","%"
"All","14","15","15","15","15","15","15","15"
"Asian","5","5","5","4","4","4","4","5"
"Bangladeshi","6","8","7","5","5","5","6","5"
"Chinese","3","4","2","3","2","4","3","3"
"Indian","5","5","6","5","6","5","4","5"
"Pakistani","4","4","3","3","3","2","3","4"
"Asian other","4","4","4","5","4","4","4","4"
"Black","5","5","6","6","5","5","5","5"
"Mixed","5","5","5","5","6","4","4","4"
"White","15","15","15","16","17","17","17","17"
"White British","16","17","17","17","17","18","18","18"
"White other","6","6","4","4","4","4","4","4"
"Other","7","7","8","7","5","4","4","4"
