"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16","2014/15-2016/17","2015/16-2017/18","2016/17-2018/19"
"Ethnicity","%","%","%","%","%","%","%","%"
"All","9","9","8","8","8","8","8","6"
"Asian","12","12","12","11","10","10","9","9"
"Bangladeshi","27","26","27","24","25","24","27","25"
"Chinese","4","4","4","3","3","3","3","4"
"Indian","8","6","6","6","5","5","5","4"
"Pakistani","24","24","22","21","18","19","18","20"
"Asian other","11","12","10","10","9","9","10","9"
"Black","17","19","20","19","17","17","17","14"
"Mixed","14","15","14","12","11","11","11","10"
"White","8","8","8","8","8","7","6","7"
"White British","10","9","9","8","8","8","7","7"
"White other","8","8","6","6","5","5","4","4"
"Other","12","12","14","14","13","12","10","10"
