"Ethnicity","Highest qualification held",""
"All","All","13%"
"All","Level 4 and above","8%"
"All","Level 3","10%"
"All","Level 2","16%"
"All","Below Level 2","17%"
"All","Other qualifications","12%"
"All","No qualifications","38%"
"Asian","All","12%"
"Asian","Level 4 and above","5%"
"Asian","Level 3","8%"
"Asian","Level 2","22%"
"Asian","Below Level 2","19%"
"Asian","Other qualifications","12%"
"Asian","No qualifications","32%"
"Black","All","15%"
"Black","Level 4 and above","7%"
"Black","Level 3","16%"
"Black","Level 2","24%"
"Black","Below Level 2","19%"
"Black","Other qualifications","12%"
"Black","No qualifications","32%"
"Mixed","All","17%"
"Mixed","Level 4 and above","8%"
"Mixed","Level 3","15%"
"Mixed","Level 2","27%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","13%"
"White","Level 4 and above","8%"
"White","Level 3","10%"
"White","Level 2","15%"
"White","Below Level 2","17%"
"White","Other qualifications","12%"
"White","No qualifications","39%"
"Other","All","16%"
"Other","Level 4 and above","9%"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","12%"
"Other","No qualifications","38%"
