"Ethnicity","Highest qualification held",""
"All","All","23%"
"All","Level 4 and above","14%"
"All","Level 3","18%"
"All","Level 2","27%"
"All","Below Level 2","33%"
"All","Other qualifications","31%"
"All","No qualifications","59%"
"Asian","All","38%"
"Asian","Level 4 and above","22%"
"Asian","Level 3","36%"
"Asian","Level 2","46%"
"Asian","Below Level 2","50%"
"Asian","Other qualifications","48%"
"Asian","No qualifications","75%"
"Black","All","23%"
"Black","Level 4 and above","14%"
"Black","Level 3","21%"
"Black","Level 2","31%"
"Black","Below Level 2","29%"
"Black","Other qualifications","29%"
"Black","No qualifications","58%"
"Mixed","All","23%"
"Mixed","Level 4 and above","14%"
"Mixed","Level 3","20%"
"Mixed","Level 2","30%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","22%"
"White","Level 4 and above","13%"
"White","Level 3","17%"
"White","Level 2","25%"
"White","Below Level 2","32%"
"White","Other qualifications","26%"
"White","No qualifications","56%"
"Other","All","35%"
"Other","Level 4 and above","22%"
"Other","Level 3","35%"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","49%"
"Other","No qualifications","70%"
