"Sex","Ethnicity","%","Number of people economically inactive"
"All","All","22","8,624,100"
"All","Asian","30","960,700"
"All","Indian","21","233,100"
"All","Pakistani, Bangladeshi","38","469,900"
"All","Asian Other","32","257,700"
"All","Black","27","374,800"
"All","Mixed","28","152,200"
"All","White","20","6,849,300"
"All","White British","21","6,383,500"
"All","White Other","15","465,700"
"All","Other","34","275,600"
"Men","All","17","3,324,600"
"Men","Asian","19","302,300"
"Men","Indian","14","78,600"
"Men","Pakistani, Bangladeshi","21","133,800"
"Men","Asian Other","25","89,900"
"Men","Black","21","139,500"
"Men","Mixed","23","60,000"
"Men","White","16","2,722,000"
"Men","White British","17","2,593,600"
"Men","White Other","9","128,400"
"Men","Other","24","97,200"
"Women","All","26","5,299,600"
"Women","Asian","41","658,400"
"Women","Indian","28","154,500"
"Women","Pakistani, Bangladeshi","56","336,000"
"Women","Asian Other","38","167,800"
"Women","Black","31","235,300"
"Women","Mixed","32","92,300"
"Women","White","24","4,127,300"
"Women","White British","24","3,789,900"
"Women","White Other","21","337,300"
"Women","Other","44","178,400"
