"Age","Ethnicity","%","Number of people economically inactive"
"All","All","22","8,624,100"
"All","Asian","30","960,700"
"All","Indian","21","233,100"
"All","Pakistani, Bangladeshi","38","469,900"
"All","Asian Other","32","257,700"
"All","Black","27","374,800"
"All","Mixed","28","152,200"
"All","White","20","6,849,300"
"All","White British","21","6,383,500"
"All","White Other","15","465,700"
"All","Other","34","275,600"
"16-24","All","39","2,647,500"
"16-24","Asian","56","352,600"
"16-24","Indian","52","81,600"
"16-24","Pakistani, Bangladeshi","53","164,900"
"16-24","Asian Other","65","106,100"
"16-24","Black","57","165,000"
"16-24","Mixed","46","85,300"
"16-24","White","35","1,945,900"
"16-24","White British","35","1,798,000"
"16-24","White Other","40","147,900"
"16-24","Other","64","95,100"
"25-49","All","13","2,780,200"
"25-49","Asian","22","440,100"
"25-49","Indian","13","95,500"
"25-49","Pakistani, Bangladeshi","30","237,500"
"25-49","Asian Other","22","107,100"
"25-49","Black","18","137,900"
"25-49","Mixed","16","46,900"
"25-49","White","12","2,015,400"
"25-49","White British","12","1,791,800"
"25-49","White Other","10","223,600"
"25-49","Other","26","134,400"
"50-64","All","26","3,196,400"
"50-64","Asian","32","168,000"
"50-64","Indian","25","56,100"
"50-64","Pakistani, Bangladeshi","44","67,400"
"50-64","Asian Other","29","44,600"
"50-64","Black","21","71,900"
"50-64","Mixed","28","20,000"
"50-64","White","26","2,888,000"
"50-64","White British","26","2,793,700"
"50-64","White Other","19","94,300"
"50-64","Other","32","46,000"
