"Ethnicity","Highest qualification held",""
"All","All","3%"
"All","Level 4 and above","2%"
"All","Level 3","3%"
"All","Level 2","4%"
"All","Below Level 2","4%"
"All","Other qualifications","3%"
"All","No qualifications","3%"
"Asian","All","5%"
"Asian","Level 4 and above","4%"
"Asian","Level 3","5%"
"Asian","Level 2","6%"
"Asian","Below Level 2","7%"
"Asian","Other qualifications","6%"
"Asian","No qualifications","2%"
"Black","All","6%"
"Black","Level 4 and above","6%"
"Black","Level 3","7%"
"Black","Level 2","6%"
"Black","Below Level 2","7%"
"Black","Other qualifications","7%"
"Black","No qualifications","3%"
"Mixed","All","4%"
"Mixed","Level 4 and above","3%"
"Mixed","Level 3","6%"
"Mixed","Level 2","5%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","3%"
"White","Level 4 and above","2%"
"White","Level 3","3%"
"White","Level 2","3%"
"White","Below Level 2","4%"
"White","Other qualifications","3%"
"White","No qualifications","4%"
"Other","All","4%"
"Other","Level 4 and above","5%"
"Other","Level 3","8%"
"Other","Level 2","2%"
"Other","Below Level 2","?"
"Other","Other qualifications","4%"
"Other","No qualifications","2%"
