"Sex","Ethnicity","All (%)","Disabled (%)","Non-disabled (%)"
"All","All","4","8","4"
"All","Asian","6","11","5"
"All","Indian","4","9","4"
"All","Pakistani, Bangladeshi","8","13","7"
"All","Asian Other","6","10","6"
"All","Black","9","16","8"
"All","Mixed","7","16","6"
"All","White","4","8","3"
"All","White British","4","8","3"
"All","White Other","3","6","3"
"All","Other","8","15","7"
"Men","All","4","10","4"
"Men","Asian","5","9","4"
"Men","Indian","4","11","3"
"Men","Pakistani, Bangladeshi","6","8","6"
"Men","Asian Other","6","10","5"
"Men","Black","9","19","8"
"Men","Mixed","8","18","6"
"Men","White","4","9","3"
"Men","White British","4","10","3"
"Men","White Other","3","4","3"
"Men","Other","7","20","5"
"Women","All","4","7","4"
"Women","Asian","8","13","7"
"Women","Indian","5","8","5"
"Women","Pakistani, Bangladeshi","13","22","11"
"Women","Asian Other","7","11","6"
"Women","Black","9","15","8"
"Women","Mixed","7","14","6"
"Women","White","4","6","3"
"Women","White British","4","6","3"
"Women","White Other","4","8","3"
"Women","Other","8","8","8"
