"","All","","White","","Other than White",""
"Region","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"All","4","1,360,800","4","1,060,900","7","298,800"
"East Midlands","5","107,700","4","91,300","6","16,400"
"East of England","4","111,000","4","99,400","4","11,500"
"London","5","241,600","4","109,500","8","131,400"
"North East","5","67,800","5","63,300","9","4,400"
"North West","4","143,600","4","116,300","8","27,300"
"Scotland","4","117,200","4","105,100","11","12,100"
"South East","3","159,700","3","133,200","6","26,300"
"South West","3","88,600","3","81,900","5","6,600"
"Wales","5","68,300","4","63,500","7","4,800"
"West Midlands","5","135,100","4","96,200","8","39,000"
"Yorkshire and The Humber","5","120,200","4","101,200","8","19,000"
