"","All","","Men","","Women",""
"Ethnicity","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"All","4","1,287,300","4","716,700","4","570,700"
"Asian","6","135,700","5","71,800","7","63,900"
"Indian","4","37,000","4","20,900","4","16,000"
"Pakistani, Bangladeshi","8","64,000","7","34,000","11","30,000"
"Asian Other","6","34,700","6","16,800","6","17,900"
"Black","8","87,400","9","49,400","7","38,000"
"Mixed","6","25,000","7","13,400","6","11,700"
"White","4","996,900","4","564,200","3","432,800"
"White British","4","911,800","4","528,100","3","383,700"
"White Other","3","85,200","3","36,100","4","49,100"
"Other","7","41,800","6","17,700","10","24,100"
