"Sex","Ethnicity","%","Number of people unemployed"
"All","All","4","1,287,300"
"All","Asian","6","135,700"
"All","Indian","4","37,000"
"All","Pakistani, Bangladeshi","8","64,000"
"All","Asian Other","6","34,700"
"All","Black","8","87,400"
"All","Mixed","6","25,000"
"All","White","4","996,900"
"All","White British","4","911,800"
"All","White Other","3","85,200"
"All","Other","7","41,800"
"Men","All","4","716,700"
"Men","Asian","5","71,800"
"Men","Indian","4","20,900"
"Men","Pakistani, Bangladeshi","7","34,000"
"Men","Asian Other","6","16,800"
"Men","Black","9","49,400"
"Men","Mixed","7","13,400"
"Men","White","4","564,200"
"Men","White British","4","528,100"
"Men","White Other","3","36,100"
"Men","Other","6","17,700"
"Women","All","4","570,700"
"Women","Asian","7","63,900"
"Women","Indian","4","16,000"
"Women","Pakistani, Bangladeshi","11","30,000"
"Women","Asian Other","6","17,900"
"Women","Black","7","38,000"
"Women","Mixed","6","11,700"
"Women","White","3","432,800"
"Women","White British","3","383,700"
"Women","White Other","4","49,100"
"Women","Other","10","24,100"
