"Ethnicity","Region","%","Number of people unemployed"
"All","All","4","1,287,300"
"All","East Midlands","4","91,600"
"All","East of England","3","102,900"
"All","London","5","224,400"
"All","North East","6","73,300"
"All","North West","4","147,300"
"All","Scotland","4","95,800"
"All","South East","3","144,500"
"All","South West","3","87,900"
"All","Wales","4","61,800"
"All","West Midlands","5","138,800"
"All","Yorkshire and The Humber","4","118,900"
"White","All","4","996,900"
"White","East Midlands","3","74,300"
"White","East of England","3","88,300"
"White","London","3","107,700"
"White","North East","6","67,200"
"White","North West","4","122,400"
"White","Scotland","3","87,300"
"White","South East","3","125,100"
"White","South West","3","78,100"
"White","Wales","4","58,400"
"White","West Midlands","4","92,900"
"White","Yorkshire and The Humber","4","95,200"
"Other than White","All","7","289,900"
"Other than White","East Midlands","6","17,000"
"Other than White","East of England","5","14,600"
"Other than White","London","7","116,400"
"Other than White","North East","11","6,200"
"Other than White","North West","7","24,900"
"Other than White","Scotland","7","8,600"
"Other than White","South East","4","19,400"
"Other than White","South West","7","9,800"
"Other than White","Wales","4","3,400"
"Other than White","West Midlands","9","45,900"
"Other than White","Yorkshire and The Humber","9","23,700"
