"Sex","Ethnicity","%"
"Male","All","11.0"
"Male","Bangladeshi","11.3"
"Male","Chinese","3.6"
"Male","Indian","6.7"
"Male","Pakistani","13.4"
"Male","Asian other","8.0"
"Male","Black","12.5"
"Male","Mixed","12.1"
"Male","White","11.0"
"Male","Other","8.9"
"Female","All","12.1"
"Female","Bangladeshi","12.7"
"Female","Chinese","5.2"
"Female","Indian","7.9"
"Female","Pakistani","15.3"
"Female","Asian other","15.0"
"Female","Black","10.5"
"Female","Mixed","9.9"
"Female","White","12.3"
"Female","Other","10.4"
