"Ethnicity","Sector","%","Number"
"Ethnic minorities (exc White minorities)","ABDE. Primary sector","0","0"
"Ethnic minorities (exc White minorities)","C. Manufacturing","2","2,095"
"Ethnic minorities (exc White minorities)","F. Construction","2","2,658"
"Ethnic minorities (exc White minorities)","G. Retail & wholesale","5","12,049"
"Ethnic minorities (exc White minorities)","H. Transport & storage","6","2,744"
"Ethnic minorities (exc White minorities)","I. Accommodation & food service","6","7,234"
"Ethnic minorities (exc White minorities)","J. Information & communication","8","6,147"
"Ethnic minorities (exc White minorities)","KL. Financial & real estate","6","3,740"
"Ethnic minorities (exc White minorities)","M. Professional & scientific","3","5,437"
"Ethnic minorities (exc White minorities)","N. Administrative services","7","8,130"
"Ethnic minorities (exc White minorities)","P. Education","4","760"
"Ethnic minorities (exc White minorities)","Q. Human health","4","2,320"
"Ethnic minorities (exc White minorities)","R. Arts & entertainment","6","1,477"
"Ethnic minorities (exc White minorities)","S. Other services","4","2,418"
"White","ABDE. Primary sector","96","57,787"
"White","C. Manufacturing","92","80,076"
"White","F. Construction","97","158,963"
"White","G. Retail & wholesale","91","218,913"
"White","H. Transport & storage","86","38,122"
"White","I. Accommodation & food service","89","116,323"
"White","J. Information & communication","88","70,160"
"White","KL. Financial & real estate","86","54,964"
"White","M. Professional & scientific","93","179,080"
"White","N. Administrative services","87","104,817"
"White","P. Education","73","13,772"
"White","Q. Human health","66","41,285"
"White","R. Arts & entertainment","67","16,947"
"White","S. Other services","74","50,482"
"Unknown","ABDE. Primary sector","4","2,690"
"Unknown","C. Manufacturing","5","4,734"
"Unknown","F. Construction","1","1,598"
"Unknown","G. Retail & wholesale","4","10,287"
"Unknown","H. Transport & storage","8","3,684"
"Unknown","I. Accommodation & food service","5","6,769"
"Unknown","J. Information & communication","5","3,821"
"Unknown","KL. Financial & real estate","8","5,213"
"Unknown","M. Professional & scientific","5","8,848"
"Unknown","N. Administrative services","6","7,255"
"Unknown","P. Education","23","4,430"
"Unknown","Q. Human health","30","19,037"
"Unknown","R. Arts & entertainment","27","6,721"
"Unknown","S. Other services","23","15,669"
