"Ethnicity","Sector","%","Number"
"Ethnic minorities (exc White minorities)","ABDE. Primary sector","1","1,942"
"Ethnic minorities (exc White minorities)","C. Manufacturing","0","0"
"Ethnic minorities (exc White minorities)","F. Construction","5","44,958"
"Ethnic minorities (exc White minorities)","G. Retail & wholesale","4","11,504"
"Ethnic minorities (exc White minorities)","H. Transport & storage","0","0"
"Ethnic minorities (exc White minorities)","I. Accommodation & food service","4","2,829"
"Ethnic minorities (exc White minorities)","J. Information & communication","9","25,037"
"Ethnic minorities (exc White minorities)","KL. Financial & real estate","4","5,960"
"Ethnic minorities (exc White minorities)","M. Professional & scientific","6","36,990"
"Ethnic minorities (exc White minorities)","N. Administrative services","11","39,963"
"Ethnic minorities (exc White minorities)","P. Education","7","18,596"
"Ethnic minorities (exc White minorities)","Q. Human health","3","7,918"
"Ethnic minorities (exc White minorities)","R. Arts & entertainment","6","14,896"
"Ethnic minorities (exc White minorities)","S. Other services","6","15,804"
"White","ABDE. Primary sector","97","129,775"
"White","C. Manufacturing","99","176,682"
"White","F. Construction","93","782,812"
"White","G. Retail & wholesale","93","279,700"
"White","H. Transport & storage","99","297,572"
"White","I. Accommodation & food service","90","63,849"
"White","J. Information & communication","89","242,193"
"White","KL. Financial & real estate","96","127,944"
"White","M. Professional & scientific","93","616,580"
"White","N. Administrative services","87","310,268"
"White","P. Education","91","252,112"
"White","Q. Human health","85","255,717"
"White","R. Arts & entertainment","79","197,003"
"White","S. Other services","82","204,872"
"Unknown","ABDE. Primary sector","1","1,574"
"Unknown","C. Manufacturing","1","1,122"
"Unknown","F. Construction","2","15,533"
"Unknown","G. Retail & wholesale","3","8,611"
"Unknown","H. Transport & storage","1","2,826"
"Unknown","I. Accommodation & food service","6","4,449"
"Unknown","J. Information & communication","1","3,775"
"Unknown","KL. Financial & real estate","0","0"
"Unknown","M. Professional & scientific","1","7,849"
"Unknown","N. Administrative services","2","6,971"
"Unknown","P. Education","2","6,629"
"Unknown","Q. Human health","12","35,473"
"Unknown","R. Arts & entertainment","16","38,983"
"Unknown","S. Other services","12","29,355"
