"Ethnicity","Sector","Percentage","Number"
"White","All","86.6","1,197,070"
"White","ABDE. Agriculture & utilities","95.0","57,673"
"White","C. Manufacturing","92.2","80,646"
"White","F. Construction","94.4","160,362"
"White","G. Retail & wholesale","88.3","212,450"
"White","H. Transport & storage","90.3","42,885"
"White","I. Accommodation & food service","82.1","108,902"
"White","J. Information & communication","88.3","73,611"
"White","KL. Financial & real estate","88.0","58,126"
"White","M. Professional & scientific","88.5","172,773"
"White","N. Administrative services","85.9","106,310"
"White","P. Education","72.5","14,227"
"White","Q. Health and social care","67.6","40,807"
"White","R. Arts & entertainment","73.5","19,423"
"White","S. Other services","71.8","48,873"
"Other than White","All","5.4","73,928"
"Other than White","ABDE. Agriculture & utilities","0.2","103"
"Other than White","C. Manufacturing","3.2","2,788"
"Other than White","F. Construction","3.3","5,570"
"Other than White","G. Retail & wholesale","7.4","17,734"
"Other than White","H. Transport & storage","4.7","2,239"
"Other than White","I. Accommodation & food service","7.9","10,446"
"Other than White","J. Information & communication","5.8","4,844"
"Other than White","KL. Financial & real estate","5.2","3,449"
"Other than White","M. Professional & scientific","3.7","7,312"
"Other than White","N. Administrative services","7.1","8,724"
"Other than White","P. Education","7.4","1,450"
"Other than White","Q. Health and social care","9.3","5,595"
"Other than White","R. Arts & entertainment","4.4","1,164"
"Other than White","S. Other services","3.7","2,486"
"Unknown","All","8.0","110,777"
"Unknown","ABDE. Agriculture & utilities","4.8","2,924"
"Unknown","C. Manufacturing","4.7","4,077"
"Unknown","F. Construction","2.3","3,938"
"Unknown","G. Retail & wholesale","4.4","10,551"
"Unknown","H. Transport & storage","4.9","2,346"
"Unknown","I. Accommodation & food service","10.0","13,288"
"Unknown","J. Information & communication","5.8","4,871"
"Unknown","KL. Financial & real estate","6.8","4,490"
"Unknown","M. Professional & scientific","7.8","15,154"
"Unknown","N. Administrative services","7.0","8,691"
"Unknown","P. Education","20.2","3,958"
"Unknown","Q. Health and social care","23.1","13,932"
"Unknown","R. Arts & entertainment","22.1","5,834"
"Unknown","S. Other services","24.6","16,751"
