"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Age Bracket","Age Bracket Type","Employer / non-employer","UK Nation","Sector","Value","Value_type","Value_note","Denominator","Numerator"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","All","86.9"," %","","4327680","3761906"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","England","All","86.8"," %","","3825565","3319424"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Scotland","All","89.8"," %","","251040","225392"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Wales","All","91.4"," %","","154640","141296"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","78.7"," %","","96430","75844"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","93.8"," %","","133320","125061"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","97.9"," %","","177800","174094"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","91.2"," %","","843755","769351"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","90.1"," %","","299955","270257"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","96.5"," %","","300245","289748"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","79.8"," %","","71180","56831"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","83.7"," %","","271100","226922"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","93.8"," %","","133825","125541"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","88.6"," %","","661775","586221"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","79.3"," %","","357275","283192"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","86.2"," %","","277270","238913"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","79.2"," %","","299100","236978"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","76.2"," %","","250900","191068"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","75.3"," %","","250175","188268"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","All","5.2"," %","","4327680","225557"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","England","All","5.7"," %","","3825565","218149"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Scotland","All","2.6"," %","","251040","6410"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Wales","All","0"," %","","154640","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","0.6"," %","","96430","599"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","1.5"," %","","133320","1942"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","0"," %","","177800","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","5.3"," %","","843755","44958"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","3.5"," %","","299955","10511"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","0"," %","","300245","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","4"," %","","71180","2829"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","9.2"," %","","271100","25037"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","4.5"," %","","133825","5960"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","5.6"," %","","661775","36990"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","11.2"," %","","357275","39963"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","6.7"," %","","277270","18596"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","2.6"," %","","299100","7918"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","5.9"," %","","250900","14896"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","6.3"," %","","250175","15804"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","All","7.9"," %","","4327680","340217"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","England","All","7.5"," %","","3825565","287992"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Scotland","All","7.7"," %","","251040","19238"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Wales","All","8.6"," %","","154640","13344"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","20.7"," %","","96430","19987"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","4.7"," %","","133320","6317"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","2.1"," %","","177800","3706"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","3.5"," %","","843755","29446"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","6.4"," %","","299955","19188"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","3.5"," %","","300245","10497"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","16.2"," %","","71180","11520"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","7.1"," %","","271100","19141"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","1.7"," %","","133825","2324"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","5.8"," %","","661775","38564"
