"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Age_Bracket","Age_Bracket_Type","Value","Value_type","Number_of_new_loans"
"Number of Start Up Loans per 10,000 of economically active population","2013","Year","White","ONS 5+1","18+","Labour Force age bracket","2.3","rate per 10,000 of economically active population","6546"
"Number of Start Up Loans per 10,000 of economically active population","2013","Year","Asian","ONS 5+1","18+","Labour Force age bracket","3.1","rate per 10,000 of economically active population","594"
"Number of Start Up Loans per 10,000 of economically active population","2013","Year","Black","ONS 5+1","18+","Labour Force age bracket","26.9","rate per 10,000 of economically active population","2300"
"Number of Start Up Loans per 10,000 of economically active population","2013","Year","Mixed","ONS 5+1","18+","Labour Force age bracket","14","rate per 10,000 of economically active population","436"
"Number of Start Up Loans per 10,000 of economically active population","2013","Year","Other","ONS 5+1","18+","Labour Force age bracket","0.6","rate per 10,000 of economically active population","27"
"Number of Start Up Loans per 10,000 of economically active population","2013","Year","Unknown","ONS 5+1","18+","Labour Force age bracket","N/A","N/A","468"
"Number of Start Up Loans per 10,000 of economically active population","2013","Year","All","ONS 5+1","18+","Labour Force age bracket","3.3","rate per 10,000 of economically active population","10371"
"Number of Start Up Loans per 10,000 of economically active population","2014","Year","White","ONS 5+1","18+","Labour Force age bracket","3.9","rate per 10,000 of economically active population","11126"
"Number of Start Up Loans per 10,000 of economically active population","2014","Year","Asian","ONS 5+1","18+","Labour Force age bracket","2.8","rate per 10,000 of economically active population","569"
"Number of Start Up Loans per 10,000 of economically active population","2014","Year","Black","ONS 5+1","18+","Labour Force age bracket","15.9","rate per 10,000 of economically active population","1399"
"Number of Start Up Loans per 10,000 of economically active population","2014","Year","Mixed","ONS 5+1","18+","Labour Force age bracket","25","rate per 10,000 of economically active population","811"
"Number of Start Up Loans per 10,000 of economically active population","2014","Year","Other","ONS 5+1","18+","Labour Force age bracket","4.6","rate per 10,000 of economically active population","214"
"Number of Start Up Loans per 10,000 of economically active population","2014","Year","Unknown","ONS 5+1","18+","Labour Force age bracket","N/A","N/A","660"
"Number of Start Up Loans per 10,000 of economically active population","2014","Year","All","ONS 5+1","18+","Labour Force age bracket","4.6","rate per 10,000 of economically active population","14779"
"Number of Start Up Loans per 10,000 of economically active population","2015","Year","White","ONS 5+1","18+","Labour Force age bracket","2.6","rate per 10,000 of economically active population","7535"
"Number of Start Up Loans per 10,000 of economically active population","2015","Year","Asian","ONS 5+1","18+","Labour Force age bracket","1.7","rate per 10,000 of economically active population","345"
"Number of Start Up Loans per 10,000 of economically active population","2015","Year","Black","ONS 5+1","18+","Labour Force age bracket","8.2","rate per 10,000 of economically active population","801"
"Number of Start Up Loans per 10,000 of economically active population","2015","Year","Mixed","ONS 5+1","18+","Labour Force age bracket","14.1","rate per 10,000 of economically active population","459"
"Number of Start Up Loans per 10,000 of economically active population","2015","Year","Other","ONS 5+1","18+","Labour Force age bracket","4.4","rate per 10,000 of economically active population","212"
"Number of Start Up Loans per 10,000 of economically active population","2015","Year","Unknown","ONS 5+1","18+","Labour Force age bracket","N/A","N/A","442"
"Number of Start Up Loans per 10,000 of economically active population","2015","Year","All","ONS 5+1","18+","Labour Force age bracket","3","rate per 10,000 of economically active population","9794"
"Number of Start Up Loans per 10,000 of economically active population","2016","Year","White","ONS 5+1","18+","Labour Force age bracket","2.4","rate per 10,000 of economically active population","6963"
"Number of Start Up Loans per 10,000 of economically active population","2016","Year","Asian","ONS 5+1","18+","Labour Force age bracket","1.8","rate per 10,000 of economically active population","387"
"Number of Start Up Loans per 10,000 of economically active population","2016","Year","Black","ONS 5+1","18+","Labour Force age bracket","7","rate per 10,000 of economically active population","693"
"Number of Start Up Loans per 10,000 of economically active population","2016","Year","Mixed","ONS 5+1","18+","Labour Force age bracket","10","rate per 10,000 of economically active population","356"
"Number of Start Up Loans per 10,000 of economically active population","2016","Year","Other","ONS 5+1","18+","Labour Force age bracket","2.7","rate per 10,000 of economically active population","140"
"Number of Start Up Loans per 10,000 of economically active population","2016","Year","Unknown","ONS 5+1","18+","Labour Force age bracket","N/A","N/A","543"
"Number of Start Up Loans per 10,000 of economically active population","2016","Year","All","ONS 5+1","18+","Labour Force age bracket","2.8","rate per 10,000 of economically active population","9082"
"Number of Start Up Loans per 10,000 of economically active population","2017","Year","White","ONS 5+1","18+","Labour Force age bracket","2.5","rate per 10,000 of economically active population","7184"
"Number of Start Up Loans per 10,000 of economically active population","2017","Year","Asian","ONS 5+1","18+","Labour Force age bracket","1.7","rate per 10,000 of economically active population","375"
"Number of Start Up Loans per 10,000 of economically active population","2017","Year","Black","ONS 5+1","18+","Labour Force age bracket","6.2","rate per 10,000 of economically active population","584"
"Number of Start Up Loans per 10,000 of economically active population","2017","Year","Mixed","ONS 5+1","18+","Labour Force age bracket","8","rate per 10,000 of economically active population","304"
"Number of Start Up Loans per 10,000 of economically active population","2017","Year","Other","ONS 5+1","18+","Labour Force age bracket","2.8","rate per 10,000 of economically active population","151"
