"Ethnicity","Sector","Percentage","Number"
"White","All","85.6","1,199,805"
"White","ABDE. Agriculture & utilities","94.4","57,012"
"White","C. Manufacturing","93.6","81,162"
"White","F. Construction","91.6","161,587"
"White","G. Retail & wholesale","87.9","211,779"
"White","H. Transport & storage","91.1","45,344"
"White","I. Accommodation & food service","82.8","111,768"
"White","J. Information & communication","82.7","70,879"
"White","KL. Financial & real estate","86.6","59,403"
"White","M. Professional & scientific","87.8","173,003"
"White","N. Administrative services","86.2","109,874"
"White","P. Education","73.4","14,646"
"White","Q. Health and social care","62.8","36,938"
"White","R. Arts & entertainment","73.2","19,727"
"White","S. Other services","67.7","46,032"
"Other than White","All","5.1","71,467"
"Other than White","ABDE. Agriculture & utilities","0.1","83"
"Other than White","C. Manufacturing","2.8","2,453"
"Other than White","F. Construction","4.2","7,334"
"Other than White","G. Retail & wholesale","5.4","12,940"
"Other than White","H. Transport & storage","3.3","1,659"
"Other than White","I. Accommodation & food service","6.7","8,983"
"Other than White","J. Information & communication","7.9","6,761"
"Other than White","KL. Financial & real estate","6.6","4,508"
"Other than White","M. Professional & scientific","4.9","9,650"
"Other than White","N. Administrative services","5.6","7,144"
"Other than White","P. Education","4.5","898"
"Other than White","Q. Health and social care","8.2","4,798"
"Other than White","R. Arts & entertainment","4.7","1,272"
"Other than White","S. Other services","4.3","2,954"
"Unknown","All","9.3","130,993"
"Unknown","ABDE. Agriculture & utilities","5.5","3,293"
"Unknown","C. Manufacturing","3.6","3,109"
"Unknown","F. Construction","4.2","7,417"
"Unknown","G. Retail & wholesale","6.7","16,128"
"Unknown","H. Transport & storage","5.5","2,744"
"Unknown","I. Accommodation & food service","10.5","14,216"
"Unknown","J. Information & communication","9.4","8,093"
"Unknown","KL. Financial & real estate","6.8","4,665"
"Unknown","M. Professional & scientific","7.3","14,356"
"Unknown","N. Administrative services","8.2","10,510"
"Unknown","P. Education","22.1","4,405"
"Unknown","Q. Health and social care","29.0","17,052"
"Unknown","R. Arts & entertainment","22.1","5,960"
"Unknown","S. Other services","27.9","18,979"
