"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Manchester University NHS Foundation Trust","R0A","White","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","85.94675","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Manchester University NHS Foundation Trust","R0A","Other","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","66.95332","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","South Tyneside and Sunderland NHS Foundation Trust","R0B","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","90.50691","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","South Tyneside and Sunderland NHS Foundation Trust","R0B","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","75.11312","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Herefordshire and Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","88.8796","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Herefordshire and Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","80.28169","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Solent NHS Trust","R1C","White","White & Other","South East","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","91.80645","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Solent NHS Trust","R1C","Other","White & Other","South East","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","80.30303","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands","Grouped region","Community Trusts","92.70463","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands","Grouped region","Community Trusts","66.66667","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Isle of Wight NHS Trust","R1F","White","White & Other","South East","Grouped region","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","88.13264","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Isle of Wight NHS Trust","R1F","Other","White & Other","South East","Grouped region","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","73.46939","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute and Acute & Community Trusts","83.50154","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute and Acute & Community Trusts","62.31478","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","London North West University Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute and Acute & Community Trusts","83.21596","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","London North West University Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute and Acute & Community Trusts","67.42471","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Essex Partnership University NHS Foundation Trust","R1L","White","White & Other","East of England","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","88.00611","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Essex Partnership University NHS Foundation Trust","R1L","Other","White & Other","East of England","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","67.3913","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South East","Grouped region","Acute and Acute & Community Trusts","92.29341","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South East","Grouped region","Acute and Acute & Community Trusts","81.73375","%"
