"Ethnicity","Geography","%"
"All","England","8"
"All","East of England","8"
"All","London","11"
"All","Midlands","7"
"All","North East and Yorkshire","6"
"All","North West","6"
"All","South East of England","7"
"All","South West of England","6"
"Other","England","15"
"Other","East of England","14"
"Other","London","15"
"Other","Midlands","14"
"Other","North East and Yorkshire","14"
"Other","North West","14"
"Other","South East of England","13"
"Other","South West of England","14"
"White","England","6"
"White","East of England","6"
"White","London","8"
"White","Midlands","6"
"White","North East and Yorkshire","5"
"White","North West","6"
"White","South East of England","6"
"White","South West of England","6"
