"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Manchester University NHS Foundation Trust","R0A","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","6.59322","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Manchester University NHS Foundation Trust","R0A","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","18.62668","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","South Tyneside and Sunderland NHS Foundation Trust","R0B","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","5.086811","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","South Tyneside and Sunderland NHS Foundation Trust","R0B","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","17.83626","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Herefordshire and Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","4.983012","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Herefordshire and Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","13.27434","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Solent NHS Trust","R1C","White","White & Other","South East","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","3.742302","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Solent NHS Trust","R1C","Other","White & Other","South East","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","13.75661","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands","Grouped Region","Community Trusts","3.377563","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands","Grouped Region","Community Trusts","29.16667","%"
