"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","25,000","£","439,320"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","24,700","£","18,560"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","26,000","£","10,210"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","26,600","£","890"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","26,400","£","4,410"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","25,000","£","305,550"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","27,800","£","2,040"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","UK and overseas","UK and overseas","25,000","£","97,620"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","UK and overseas","UK and overseas","25,400","£","418,340"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","UK and overseas","UK and overseas","25,000","£","18,690"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","UK and overseas","UK and overseas","26,500","£","9,950"
