"grade","Ethnicity ","Average (mean) annual pay","Average pay for every £1 paid to White staff"
"Administrative officers and assistants","All","20,200","N/A"
"Administrative officers and assistants","Asian","20,400","£1.01"
"Administrative officers and assistants","Black","22,500","£1.11"
"Administrative officers and assistants","Chinese","20,200","£1"
"Administrative officers and assistants","Mixed","20,600","£1.02"
"Administrative officers and assistants","White","20,200","N/A"
"Administrative officers and assistants","Other","20,900","£1.03"
"Administrative officers and assistants","Unknown","20,200","£1"
"Executive officer","All","25,700","N/A"
"Executive officer","Asian","27,000","£1.05"
"Executive officer","Black","27,900","£1.09"
"Executive officer","Chinese","26,500","£1.03"
"Executive officer","Mixed","26,100","£1.02"
"Executive officer","White","25,700","N/A"
"Executive officer","Other","26,500","£1.03"
"Executive officer","Unknown","25,700","£1"
"Senior and higher executive officer","All","34,400","N/A"
"Senior and higher executive officer","Asian","34,400","£1"
"Senior and higher executive officer","Black","34,900","£1.01"
"Senior and higher executive officer","Chinese","35,500","£1.03"
"Senior and higher executive officer","Mixed","34,600","£1.01"
"Senior and higher executive officer","White","34,400","N/A"
"Senior and higher executive officer","Other","34,800","£1.01"
"Senior and higher executive officer","Unknown","34,000","99p"
"Grades 6 & 7","All","55,000","N/A"
"Grades 6 & 7","Asian","55,000","£1"
"Grades 6 & 7","Black","55,400","£1.01"
"Grades 6 & 7","Chinese","55,700","£1.01"
"Grades 6 & 7","Mixed","54,900","£1"
"Grades 6 & 7","White","55,000","N/A"
"Grades 6 & 7","Other","56,000","£1.02"
"Grades 6 & 7","Unknown","55,000","£1"
"Senior Civil Service Level","All","81,200","N/A"
"Senior Civil Service Level","Asian","87,700","£1.09"
"Senior Civil Service Level","Black","84,600","£1.05"
"Senior Civil Service Level","Chinese","90,500","£1.13"
"Senior Civil Service Level","Mixed","77,000","96p"
"Senior Civil Service Level","White","80,400","N/A"
"Senior Civil Service Level","Other","78,700","98p"
"Senior Civil Service Level","Unknown","83,600","£1.04"
"Unknown grade","All","30,300","N/A"
"Unknown grade","Asian","30,200","£1"
"Unknown grade","Black","27,600","91p"
"Unknown grade","Chinese","30,300","£1"
"Unknown grade","Mixed","30,200","£1"
"Unknown grade","White","30,300","N/A"
"Unknown grade","Other","30,800","£1.02"
"Unknown grade","Unknown","31,100","£1.03"
