"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE","All","£2,276","£2,429"
"Average (mean) monthly basic pay per FTE","Asian","£2,209","£2,251"
"Average (mean) monthly basic pay per FTE","Black","£2,160","£2,098"
"Average (mean) monthly basic pay per FTE","Mixed","£2,171","£2,223"
"Average (mean) monthly basic pay per FTE","Other","£2,252","£2,245"
"Average (mean) monthly basic pay per FTE","Unknown","£2,265","£2,566"
"Average (mean) monthly basic pay per FTE","White","£2,293","£2,483"
"Average pay for every £1 paid to White staff","All","n/a","n/a"
"Average pay for every £1 paid to White staff","Asian","96p","91p"
"Average pay for every £1 paid to White staff","Black","94p","84p"
"Average pay for every £1 paid to White staff","Mixed","95p","90p"
"Average pay for every £1 paid to White staff","Other","98p","90p"
"Average pay for every £1 paid to White staff","Unknown","99p","£1.03"
"Average pay for every £1 paid to White staff","White","n/a","n/a"
