"Type_of_role","Ethnicity","Average pay (male staff)","Average pay (female staff)","Average pay of female staff for every £1 paid to male staff"
"All staff","All","£3,406","£2,644","£0.78"
"All staff","Asian","£3,946","£2,836","£0.72"
"All staff","Black","£2,768","£2,452","£0.89"
"All staff","Mixed","£3,412","£2,643","£0.77"
"All staff","White","£3,291","£2,630","£0.80"
"All staff","Other","£3,929","£2,816","£0.72"
"All staff","Unknown","£3,605","£2,684","£0.74"
"Medical staff","All","£5,995","£5,291","£0.88"
"Medical staff","Asian","£5,957","£5,102","£0.86"
"Medical staff","Black","£5,041","£4,465","£0.89"
"Medical staff","Mixed","£5,228","£4,740","£0.91"
"Medical staff","White","£6,329","£5,580","£0.88"
"Medical staff","Other","£5,670","£4,896","£0.86"
"Medical staff","Unknown","£5,392","£4,828","£0.90"
"Non-medical staff","All","£2,648","£2,480","£0.94"
"Non-medical staff","Asian","£2,459","£2,409","£0.98"
"Non-medical staff","Black","£2,324","£2,361","£1.02"
"Non-medical staff","Mixed","£2,462","£2,398","£0.97"
"Non-medical staff","White","£2,721","£2,503","£0.92"
"Non-medical staff","Other","£2,443","£2,452","£1.00"
"Non-medical staff","Unknown","£2,676","£2,417","£0.90"
