"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","All","All","2590","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","All","All","3025","GBP","1.19","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","All","All","2289","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","All","All","2542","GBP","1","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","All","All","2973","GBP","1.17","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","All","All","2694","GBP","1.06","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","All","All","2545","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","Men","All","3288","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","Men","All","3758","GBP","1.16","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","Men","All","2521","GBP","0.78","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","Men","All","3049","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","Men","All","3623","GBP","1.12","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","Men","All","3342","GBP","1.03","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","Men","All","3237","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","Women","All","2379","GBP","N/A","0.72"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","Women","All","2599","GBP","1.1","0.69"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","Women","All","2215","GBP","0.94","0.88"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","Women","All","2350","GBP","0.99","0.77"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","Women","All","2559","GBP","1.08","0.71"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","Women","All","2432","GBP","1.03","0.73"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","Women","All","2363","GBP","N/A","0.73"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","All","Medical","5238","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","All","Medical","5130","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","All","Medical","4798","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","All","Medical","4490","GBP","0.83","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","All","Medical","5189","GBP","0.96","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","All","Medical","4822","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","All","Medical","5421","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","Men","Medical","5638","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","Men","Medical","5498","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","Men","Medical","5243","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","Men","Medical","4844","GBP","0.82","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","Men","Medical","5495","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","Men","Medical","5168","GBP","0.88","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","Men","Medical","5876","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","Women","Medical","4738","GBP","N/A","0.84"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","Women","Medical","4551","GBP","0.92","0.83"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","Women","Medical","4214","GBP","0.85","0.8"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","Women","Medical","4082","GBP","0.83","0.84"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","Women","Medical","4584","GBP","0.93","0.83"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","Women","Medical","4378","GBP","0.89","0.85"
