"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","All","4,897.00","5,703.00"
"Average (mean) monthly basic pay per FTE (£)","Asian","4,760.00","5,636.00"
"Average (mean) monthly basic pay per FTE (£)","Black","4,303.00","5,142.00"
"Average (mean) monthly basic pay per FTE (£)","Mixed","4,387.00","5,017.00"
"Average (mean) monthly basic pay per FTE (£)","Other","4,652.00","5,564.00"
"Average (mean) monthly basic pay per FTE (£)","Unknown","4,401.00","5,145.00"
"Average (mean) monthly basic pay per FTE (£)","White","5,104.00","5,934.00"
"Average pay for every £1 paid to White staff","All","n/a","n/a"
"Average pay for every £1 paid to White staff","Asian","0.93","0.95"
"Average pay for every £1 paid to White staff","Black","0.84","0.87"
"Average pay for every £1 paid to White staff","Mixed","0.86","0.85"
"Average pay for every £1 paid to White staff","Other","0.91","0.94"
"Average pay for every £1 paid to White staff","Unknown","0.86","0.87"
"Average pay for every £1 paid to White staff","White","n/a","n/a"
