"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","All","2,276.00","2,429.00"
"Average (mean) monthly basic pay per FTE (£)","Asian","2,209.00","2,251.00"
"Average (mean) monthly basic pay per FTE (£)","Black","2,160.00","2,098.00"
"Average (mean) monthly basic pay per FTE (£)","Mixed","2,171.00","2,223.00"
"Average (mean) monthly basic pay per FTE (£)","Other","2,252.00","2,245.00"
"Average (mean) monthly basic pay per FTE (£)","Unknown","2,265.00","2,566.00"
"Average (mean) monthly basic pay per FTE (£)","White","2,293.00","2,483.00"
"Average pay for every £1 paid to White staff","All","n/a","n/a"
"Average pay for every £1 paid to White staff","Asian","0.96","0.91"
"Average pay for every £1 paid to White staff","Black","0.94","0.84"
"Average pay for every £1 paid to White staff","Mixed","0.95","0.90"
"Average pay for every £1 paid to White staff","Other","0.98","0.90"
"Average pay for every £1 paid to White staff","Unknown","0.99","1.03"
"Average pay for every £1 paid to White staff","White","n/a","n/a"
