"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","All","2,423.00","3,157.00"
"Average (mean) monthly basic pay per FTE (£)","Asian","2,637.00","3,764.00"
"Average (mean) monthly basic pay per FTE (£)","Black","2,242.00","2,551.00"
"Average (mean) monthly basic pay per FTE (£)","Mixed","2,407.00","3,145.00"
"Average (mean) monthly basic pay per FTE (£)","Other","2,590.00","3,691.00"
"Average (mean) monthly basic pay per FTE (£)","Unknown","2,491.00","3,369.00"
"Average (mean) monthly basic pay per FTE (£)","White","2,407.00","3,034.00"
"Average pay for every £1 paid to White staff","All","n/a","n/a"
"Average pay for every £1 paid to White staff","Asian","1.10","1.24"
"Average pay for every £1 paid to White staff","Black","0.93","0.84"
"Average pay for every £1 paid to White staff","Mixed","1.00","1.04"
"Average pay for every £1 paid to White staff","Other","1.08","1.22"
"Average pay for every £1 paid to White staff","Unknown","1.03","1.11"
"Average pay for every £1 paid to White staff","White","n/a","n/a"
