"Ethnicity","Ethnicity","%","Headcount"
"Asian","Aged 16-19","6.9","60"
"Asian","Aged 20-29","9.8","4,040"
"Asian","Aged 30-39","8.8","6,460"
"Asian","Aged 40-49","7.3","6,360"
"Asian","Aged 50-59","4.1","4,610"
"Asian","Aged 60-64","4.3","1,160"
"Asian","Aged 65 & Over","7.1","490"
"Black","Aged 16-19","1.2","10"
"Black","Aged 20-29","3.2","1,290"
"Black","Aged 30-39","3.1","2,260"
"Black","Aged 40-49","3.4","2,950"
"Black","Aged 50-59","4.0","4,560"
"Black","Aged 60-64","2.7","730"
"Black","Aged 65 & Over","2.6","180"
"Chinese","Aged 16-19","!","!"
"Chinese","Aged 20-29","0.5","190"
"Chinese","Aged 30-39","0.4","300"
"Chinese","Aged 40-49","0.3","290"
"Chinese","Aged 50-59","0.2","220"
"Chinese","Aged 60-64","0.2","60"
"Chinese","Aged 65 & Over","0.3","20"
"Mixed","Aged 16-19","3.0","30"
"Mixed","Aged 20-29","3.3","1,350"
"Mixed","Aged 30-39","2.4","1,750"
"Mixed","Aged 40-49","1.6","1,410"
"Mixed","Aged 50-59","1.1","1,300"
"Mixed","Aged 60-64","0.9","250"
"Mixed","Aged 65 & Over","0.9","60"
"White","Aged 16-19","88.5","790"
"White","Aged 20-29","82.6","33,840"
"White","Aged 30-39","84.6","61,900"
"White","Aged 40-49","86.8","75,560"
"White","Aged 50-59","90.1","102,130"
"White","Aged 60-64","91.3","24,440"
"White","Aged 65 & Over","88.5","6,180"
"Other","Aged 16-19","!","!"
"Other","Aged 20-29","0.7","270"
"Other","Aged 30-39","0.6","480"
"Other","Aged 40-49","0.6","490"
"Other","Aged 50-59","0.5","560"
"Other","Aged 60-64","0.5","140"
"Other","Aged 65 & Over","0.7","50"
"Unknown","Aged 16-19","N/A","690"
"Unknown","Aged 20-29","N/A","21,570"
"Unknown","Aged 30-39","N/A","22,110"
"Unknown","Aged 40-49","N/A","20,000"
"Unknown","Aged 50-59","N/A","24,440"
"Unknown","Aged 60-64","N/A","5,520"
"Unknown","Aged 65 & Over","N/A","1,620"
