"Role","Ethnicity","% 2011","Number 2011","% 2018","Number 2018"
"All Staff","Asian","0.9","441","1.0","409"
"All Staff","Black","1.5","742","1.6","637"
"All Staff","Mixed","1.2","572","1.6","640"
"All Staff","White","96.0","47,611","95.3","37,921"
"All Staff","Other inc Chinese","0.5","237","0.5","195"
"All Staff","Unknown","N/A","4,661","N/A","4,223"
"Fire control","Asian","0.3","5","0.5","5"
"Fire control","Black","0.6","8","1.0","10"
"Fire control","Mixed","1.2","17","1.6","17"
"Fire control","White","97.7","1,407","96.8","998"
"Fire control","Other inc Chinese","0.2","3","0.1","1"
"Fire control","Unknown","N/A","116","N/A","92"
"Firefighters","Asian","0.5","212","0.6","203"
"Firefighters","Black","1.3","519","1.3","420"
"Firefighters","Mixed","1.2","473","1.7","531"
"Firefighters","White","96.5","38,061","95.9","30,346"
"Firefighters","Other inc Chinese","0.4","174","0.4","139"
"Firefighters","Unknown","N/A","3,921","N/A","3,323"
"Support Staff","Asian","2.6","224","2.8","201"
"Support Staff","Black","2.5","215","2.9","207"
"Support Staff","Mixed","0.9","82","1.3","92"
"Support Staff","White","93.3","8,143","92.2","6,577"
"Support Staff","Other inc Chinese","0.7","60","0.8","55"
"Support Staff","Unknown","N/A","624","N/A","808"
