"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Type of Role","Type of Duty","Ethnic group as percentage of total workforce*","Ethnic group workforce size ","","","","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","0.5","212","","","","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","0.5","196","","","","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2013","Year","England","Firefighters","All","0.5","200","","","","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2014","Year","England","Firefighters","All","0.5","176","","","","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2015","Year","England","Firefighters","All","0.6","200","","","*Unknown ethnicity figures are not included within % denominator","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2016","Year","England","Firefighters","All","0.6","186","","","","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2017","Year","England","Firefighters","All","0.5","170","","","","",""
"Firefighters by ethnicity overtime","Asian","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","0.6","203","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","1.3","519","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","1.4","540","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2013","Year","England","Firefighters","All","1.4","506","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2014","Year","England","Firefighters","All","1.3","483","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2015","Year","England","Firefighters","All","1.3","451","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2016","Year","England","Firefighters","All","1.3","448","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2017","Year","England","Firefighters","All","1.3","430","","","","",""
"Firefighters by ethnicity overtime","Black","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","1.3","420","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","1.2","473","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","1.3","504","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2013","Year","England","Firefighters","All","1.4","506","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2014","Year","England","Firefighters","All","1.4","501","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2015","Year","England","Firefighters","All","1.5","492","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2016","Year","England","Firefighters","All","1.5","497","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2017","Year","England","Firefighters","All","1.6","512","","","","",""
"Firefighters by ethnicity overtime","Mixed","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","1.7","531","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","96.5","38,061","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","96.5","37,513","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2013","Year","England","Firefighters","All","96.3","35,930","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2014","Year","England","Firefighters","All","96.2","34,481","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2015","Year","England","Firefighters","All","96.2","32,393","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2016","Year","England","Firefighters","All","96.2","32,001","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2017","Year","England","Firefighters","All","96.1","31,002","","","","",""
"Firefighters by ethnicity overtime","White","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","95.9","30,346","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","0.4","174","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","0.4","137","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2013","Year","England","Firefighters","All","0.4","150","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2014","Year","England","Firefighters","All","0.6","200","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2015","Year","England","Firefighters","All","0.4","133","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2016","Year","England","Firefighters","All","0.4","138","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2017","Year","England","Firefighters","All","0.4","143","","","","",""
"Firefighters by ethnicity overtime","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","0.4","139","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","N/A","3,921","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2012","Year","England","Firefighters","All","N/A","3,172","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2013","Year","England","Firefighters","All","N/A","3,494","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2014","Year","England","Firefighters","All","N/A","3,631","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2015","Year","England","Firefighters","All","N/A","4,392","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2016","Year","England","Firefighters","All","N/A","3,340","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2017","Year","England","Firefighters","All","N/A","3,244","","","","",""
"Firefighters by ethnicity overtime","Unknown","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","N/A","3,323","","Fire fighters","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","0.5","212","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","0.6","203","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","1.3","519","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","1.3","420","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","1.2","473","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","1.7","531","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","96.5","38,061","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","95.9","30,346","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","0.4","174","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","0.4","139","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2011","Year","England","Firefighters","All","N/A ","3,921","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2018","Year","England","Firefighters","All","N/A ","3,323","","","Fire fighters","34,962","79.4"
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2011","Year","England","Fire control","All","0.3","5","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2018","Year","England","Fire control","All","0.5","5","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2011","Year","England","Fire control","All","0.6","8","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2018","Year","England","Fire control","All","1","10","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2011","Year","England","Fire control","All","1.2","17","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2018","Year","England","Fire control","All","1.6","17","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2011","Year","England","Fire control","All","97.7","1,407","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2018","Year","England","Fire control","All","96.8","998","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","Fire control","All","0.2","3","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","Fire control","All","0.1","1","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2011","Year","England","Fire control","All","N/A ","116","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2018","Year","England","Fire control","All","N/A ","92","","","Fire control","1123","2.6"
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","2.6","224","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2018","Year","England","Support Staff","All","2.8","201","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","2.5","215","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Black","ONS 2001 5 + 1","2018","Year","England","Support Staff","All","2.9","207","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","0.9","82","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Mixed","ONS 2001 5 + 1","2018","Year","England","Support Staff","All","1.3","92","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","93.3","8,143","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","White","ONS 2001 5 + 1","2018","Year","England","Support Staff","All","92.2","6,577","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","0.7","60","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","Support Staff","All","0.8","55","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2011","Year","England","Support Staff","All","N/A ","624","","","","",""
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Unknown","ONS 2001 5 + 1","2018","Year","England","Support Staff","All","N/A ","808","","","Support staff","7,940","18.0"
"Fire and rescue service workforce by ethnicity in 2011 and 2018","Asian","ONS 2001 5 + 1","2011","Year","England","All Staff","All","0.9","441","","","","",""
