"Type of Duty","Ethnicity","% ","Number"
"Full-time ('Wholetime') firefighters","Asian","0.9","198"
"Full-time ('Wholetime') firefighters","Black","1.9","398"
"Full-time ('Wholetime') firefighters","Mixed","2.4","500"
"Full-time ('Wholetime') firefighters","White","94.2","19,974"
"Full-time ('Wholetime') firefighters","Other inc Chinese","0.6","123"
"Full-time ('Wholetime') firefighters","Unknown","N/A","1,608"
"On-call ('retained') firefighters","Asian","0.2","21"
"On-call ('retained') firefighters","Black","0.3","29"
"On-call ('retained') firefighters","Mixed","0.7","77"
"On-call ('retained') firefighters","White","98.6","10,311"
"On-call ('retained') firefighters","Other inc Chinese","0.2","22"
"On-call ('retained') firefighters","Unknown","N/A","1,762"
