"Duty","Ethnicity","% ","Number"
"Full-time ('Wholetime') firefighters","All","64.6","22,793"
"Full-time ('Wholetime') firefighters","Asian","88.4","190"
"Full-time ('Wholetime') firefighters","Black","91.9","388"
"Full-time ('Wholetime') firefighters","Mixed","88.6","553"
"Full-time ('Wholetime') firefighters","White","65.6","19,879"
"Full-time ('Wholetime') firefighters","Other inc Chinese","83.2","124"
"Full-time ('Wholetime') firefighters","Unknown","46.3","1,659"
"On-call ('retained') firefighters","All","35.4","12,498"
"On-call ('retained') firefighters","Asian","11.6","25"
"On-call ('retained') firefighters","Black","8.1","34"
"On-call ('retained') firefighters","Mixed","11.4","71"
"On-call ('retained') firefighters","White","34.4","10,419"
"On-call ('retained') firefighters","Other inc Chinese","16.8","25"
"On-call ('retained') firefighters","Unknown","53.7","1,924"
