"Role","Ethnicity","%","Number"
"Fire Control","All","2.6","1,151"
"Fire Control","Asian","1.0","4"
"Fire Control","Black","1.4","9"
"Fire Control","Mixed","2.2","16"
"Fire Control","White","2.8","1,053"
"Fire Control","Other inc Chinese","0.9","2"
"Fire Control","Unknown","N/A","67"
"Firefighters","All","79.1","35,291"
"Firefighters","Asian","51.4","215"
"Firefighters","Black","64.6","422"
"Firefighters","Mixed","84.1","624"
"Firefighters","White","79.6","30,298"
"Firefighters","Other inc Chinese","69.6","149"
"Firefighters","Unknown","N/A","3,583"
"Support Staff","All","18.3","8,155"
"Support Staff","Asian","47.6","199"
"Support Staff","Black","34.0","222"
"Support Staff","Mixed","13.7","102"
"Support Staff","White","17.6","6,717"
"Support Staff","Other inc Chinese","29.4","63"
"Support Staff","Unknown","N/A","852"
