"Type of Role","Ethnicity","% ","Number"
"Firefighters","All","N/A","35,023"
"Firefighters","Asian","0.7","219"
"Firefighters","Black","1.3","427"
"Firefighters","Mixed","1.8","577"
"Firefighters","White","95.7","30,285"
"Firefighters","Other inc Chinese","0.5","145"
"Fire control","All","N/A","1,134"
"Fire control","Asian","0.4","4"
"Fire control","Black","0.8","8"
"Fire control","Mixed","1.3","14"
"Fire control","White","97.5","1,034"
"Fire control","Other inc Chinese","0.1","1"
"Support Staff","All","N/A","8,028"
"Support Staff","Asian","2.8","207"
"Support Staff","Black","3.0","221"
"Support Staff","Mixed","1.3","93"
"Support Staff","White","92.0","6,693"
"Support Staff","Other inc Chinese","0.9","64"
"All Staff","All","N/A","44,185"
"All Staff","Asian","1.1","430"
"All Staff","Black","1.6","656"
"All Staff","Mixed","1.7","684"
"All Staff","White","95.0","38,012"
"All Staff","Other inc Chinese","0.5","210"
