"Court/Tribunal","Ethnicity","Number ","%"
"Court Judges","Asian","100","3.6"
"Court Judges","Black","30","1.1"
"Court Judges","Mixed","49","1.8"
"Court Judges","White","2,564","92.6"
"Court Judges","Other","26","0.9"
"Court Judges","Unknown","441","13.7"
"Tribunal Judges","Asian","96","5.6"
"Tribunal Judges","Black","31","1.8"
"Tribunal Judges","Mixed","35","2.0"
"Tribunal Judges","White","1,530","88.9"
"Tribunal Judges","Other","30","1.7"
"Tribunal Judges","Unknown","132","7.1"
"Tribunal non-legal members","Asian","343","12.2"
"Tribunal non-legal members","Black","60","2.1"
"Tribunal non-legal members","Mixed","37","1.3"
"Tribunal non-legal members","White","2,323","82.6"
"Tribunal non-legal members","Other","49","1.7"
"Tribunal non-legal members","Unknown","309","9.9"
