"Ethnicity","Grade","%","Number"
"Asian","All grades","30.2","34,815"
"Asian","Senior Doctor (Career Grade)","",""
"Asian","Consultant","29.1","14,540"
"Asian","Associate Specialist","41.7","839"
"Asian","Specialty Doctor","42.9","3,422"
"Asian","Staff Grade","39.1","119"
"Asian","Junior Doctor (Training and equivalent)","",""
"Asian","Specialty Registrar","29.1","8,522"
"Asian","Core Training","31.5","3,902"
"Asian","Foundation Doctor Year 1","25.3","1,457"
"Asian","Foundation Doctor Year 2","30.2","1,535"
"Asian","Other doctors","",""
"Asian","Hospital Practitioner / Clinical Assistant","18.7","273"
"Asian","Other and Local HCHS Doctor Grades","23.5","287"
"Black","All grades","5.2","5,953"
"Black","Senior Doctor (Career Grade)","",""
"Black","Consultant","2.9","1,437"
"Black","Associate Specialist","5.2","105"
"Black","Specialty Doctor","7.4","587"
"Black","Staff Grade","6.9","21"
"Black","Junior Doctor (Training and equivalent)","",""
"Black","Specialty Registrar","7.5","2,193"
"Black","Core Training","8.0","992"
"Black","Foundation Doctor Year 1","4.4","254"
"Black","Foundation Doctor Year 2","6.1","310"
"Black","Other doctors","",""
"Black","Hospital Practitioner / Clinical Assistant","2.1","30"
"Black","Other and Local HCHS Doctor Grades","2.5","31"
"Chinese","All grades","2.6","2,940"
"Chinese","Senior Doctor (Career Grade)","",""
"Chinese","Consultant","2.1","1,059"
"Chinese","Associate Specialist","0.7","14"
"Chinese","Specialty Doctor","0.9","75"
"Chinese","Staff Grade","1.6","5"
"Chinese","Junior Doctor (Training and equivalent)","",""
"Chinese","Specialty Registrar","3.4","998"
"Chinese","Core Training","2.9","365"
"Chinese","Foundation Doctor Year 1","4.1","238"
"Chinese","Foundation Doctor Year 2","3.2","162"
"Chinese","Other doctors","",""
"Chinese","Hospital Practitioner / Clinical Assistant","1.0","14"
"Chinese","Other and Local HCHS Doctor Grades","1.3","16"
"Mixed","All grades","3.5","3,975"
"Mixed","Senior Doctor (Career Grade)","",""
"Mixed","Consultant","2.4","1,212"
"Mixed","Associate Specialist","3.0","61"
"Mixed","Specialty Doctor","3.6","285"
"Mixed","Staff Grade","5.3","16"
"Mixed","Junior Doctor (Training and equivalent)","",""
"Mixed","Specialty Registrar","4.4","1,304"
"Mixed","Core Training","4.7","582"
"Mixed","Foundation Doctor Year 1","4.3","250"
"Mixed","Foundation Doctor Year 2","4.3","219"
"Mixed","Other doctors","",""
"Mixed","Hospital Practitioner / Clinical Assistant","1.7","25"
"Mixed","Other and Local HCHS Doctor Grades","2.8","34"
"White","All grades","54.0","62,135"
"White","Senior Doctor (Career Grade)","",""
"White","Consultant","59.9","29,940"
"White","Associate Specialist","40.5","814"
"White","Specialty Doctor","37.4","2,990"
"White","Staff Grade","39.5","120"
"White","Junior Doctor (Training and equivalent)","",""
"White","Specialty Registrar","50.3","14,746"
"White","Core Training","47.1","5,844"
"White","Foundation Doctor Year 1","58.5","3,372"
"White","Foundation Doctor Year 2","51.4","2,613"
"White","Other doctors","",""
"White","Hospital Practitioner / Clinical Assistant","74.8","1,090"
"White","Other and Local HCHS Doctor Grades","67.9","830"
"Other","All grades","4.6","5,351"
"Other","Senior Doctor (Career Grade)","",""
"Other","Consultant","3.5","1,773"
"Other","Associate Specialist","8.9","178"
"Other","Specialty Doctor","7.8","626"
"Other","Staff Grade","7.6","23"
"Other","Junior Doctor (Training and equivalent)","",""
"Other","Specialty Registrar","5.3","1,559"
"Other","Core Training","5.8","713"
"Other","Foundation Doctor Year 1","3.4","197"
"Other","Foundation Doctor Year 2","4.9","248"
"Other","Other doctors","",""
"Other","Hospital Practitioner / Clinical Assistant","1.8","26"
"Other","Other and Local HCHS Doctor Grades","2.0","24"
