"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Specific grade","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Graduate entry grades","","","","","","","","","","","",""
"Very Senior Manager","4.4","91","1.3","28","0.0","1","1.1","22","92.6","1,922","0.5","11"
"Band 9","4.1","73","2.5","44","0.6","10","1.2","22","91.1","1,611","0.5","9"
"Band 8d","4.1","175","2.4","104","0.5","20","1.2","51","91.7","3,952","0.2","10"
"Band 8c","5.0","433","3.3","291","0.4","39","1.4","119","89.2","7,768","0.7","63"
"Band 8b","5.9","1,028","3.4","592","0.6","110","1.5","253","87.7","15,215","0.9","154"
"Band 8a","7.1","3,289","4.3","1,970","0.7","326","1.6","716","85.2","39,343","1.1","525"
"Band 7","6.7","8,444","5.1","6,494","0.6","737","1.5","1,877","84.5","106,642","1.6","2,034"
"Band 6","7.8","16,556","6.5","13,815","0.5","960","1.6","3,411","81.4","173,531","2.4","5,036"
"Band 5","13.4","29,539","8.8","19,431","0.4","834","1.8","4,086","71.1","157,001","4.5","9,998"
"Non-graduate entry grades","","","","","","","","","","","",""
"Band 4","7.3","7,391","5.5","5,619","0.3","282","1.8","1,801","83.8","84,932","1.3","1,277"
"Band 3","7.0","10,959","6.8","10,599","0.2","302","1.7","2,707","82.8","129,268","1.5","2,370"
"Band 2","8.5","17,219","6.6","13,415","0.2","357","1.7","3,492","80.8","163,951","2.1","4,359"
"Band 1","9.8","1,143","6.6","764","0.2","23","1.8","210","79.4","9,234","2.2","258"
"Unspecified","","","","","","","","","","","",""
"Other grades","7.9","806","5.2","532","0.2","19","2.2","230","83.5","8,537","1.0","103"
