"Ethnicity","Specific grade","%","Number"
"Asian","Graduate entry grades","",""
"Asian","Very Senior Manager","4.4","91"
"Asian","Band 9","4.1","73"
"Asian","Band 8d","4.1","175"
"Asian","Band 8c","5.0","433"
"Asian","Band 8b","5.9","1,028"
"Asian","Band 8a","7.1","3,289"
"Asian","Band 7","6.7","8,444"
"Asian","Band 6","7.8","16,556"
"Asian","Band 5","13.4","29,539"
"Asian","Non-graduate entry grades","",""
"Asian","Band 4","7.3","7,391"
"Asian","Band 3","7.0","10,959"
"Asian","Band 2","8.5","17,219"
"Asian","Band 1","9.8","1,143"
"Asian","Unspecified","",""
"Asian","Other grades","7.9","806"
"Black","Graduate entry grades","",""
"Black","Very Senior Manager","1.3","28"
"Black","Band 9","2.5","44"
"Black","Band 8d","2.4","104"
"Black","Band 8c","3.3","291"
"Black","Band 8b","3.4","592"
"Black","Band 8a","4.3","1,970"
"Black","Band 7","5.1","6,494"
"Black","Band 6","6.5","13,815"
"Black","Band 5","8.8","19,431"
"Black","Non-graduate entry grades","",""
"Black","Band 4","5.5","5,619"
"Black","Band 3","6.8","10,599"
"Black","Band 2","6.6","13,415"
"Black","Band 1","6.6","764"
"Black","Unspecified","",""
"Black","Other grades","5.2","532"
"Chinese","Graduate entry grades","",""
"Chinese","Very Senior Manager","0.0","1"
"Chinese","Band 9","0.6","10"
"Chinese","Band 8d","0.5","20"
"Chinese","Band 8c","0.4","39"
"Chinese","Band 8b","0.6","110"
"Chinese","Band 8a","0.7","326"
"Chinese","Band 7","0.6","737"
"Chinese","Band 6","0.5","960"
"Chinese","Band 5","0.4","834"
"Chinese","Non-graduate entry grades","",""
"Chinese","Band 4","0.3","282"
"Chinese","Band 3","0.2","302"
"Chinese","Band 2","0.2","357"
"Chinese","Band 1","0.2","23"
"Chinese","Unspecified","",""
"Chinese","Other grades","0.2","19"
"Mixed","Graduate entry grades","",""
"Mixed","Very Senior Manager","1.1","22"
"Mixed","Band 9","1.2","22"
"Mixed","Band 8d","1.2","51"
"Mixed","Band 8c","1.4","119"
"Mixed","Band 8b","1.5","253"
"Mixed","Band 8a","1.6","716"
"Mixed","Band 7","1.5","1,877"
"Mixed","Band 6","1.6","3,411"
"Mixed","Band 5","1.8","4,086"
"Mixed","Non-graduate entry grades","",""
"Mixed","Band 4","1.8","1,801"
"Mixed","Band 3","1.7","2,707"
"Mixed","Band 2","1.7","3,492"
"Mixed","Band 1","1.8","210"
"Mixed","Unspecified","",""
"Mixed","Other grades","2.2","230"
"White","Graduate entry grades","",""
"White","Very Senior Manager","92.6","1,922"
"White","Band 9","91.1","1,611"
"White","Band 8d","91.7","3,952"
"White","Band 8c","89.2","7,768"
"White","Band 8b","87.7","15,215"
"White","Band 8a","85.2","39,343"
"White","Band 7","84.5","106,642"
"White","Band 6","81.4","173,531"
"White","Band 5","71.1","157,001"
"White","Non-graduate entry grades","",""
"White","Band 4","83.8","84,932"
"White","Band 3","82.8","129,268"
"White","Band 2","80.8","163,951"
"White","Band 1","79.4","9,234"
"White","Unspecified","",""
"White","Other grades","83.5","8,537"
"Other","Graduate entry grades","",""
"Other","Very Senior Manager","0.5","11"
"Other","Band 9","0.5","9"
"Other","Band 8d","0.2","10"
"Other","Band 8c","0.7","63"
"Other","Band 8b","0.9","154"
"Other","Band 8a","1.1","525"
"Other","Band 7","1.6","2,034"
"Other","Band 6","2.4","5,036"
"Other","Band 5","4.5","9,998"
"Other","Non-graduate entry grades","",""
"Other","Band 4","1.3","1,277"
"Other","Band 3","1.5","2,370"
"Other","Band 2","2.1","4,359"
"Other","Band 1","2.2","258"
"Other","Unspecified","",""
"Other","Other grades","1.0","103"
