"Role type","Ethnicity","%","Number"
"Medical","All","100.0","126,523"
"Medical","Asian","30.2","34,815"
"Medical","Black","5.2","5,953"
"Medical","Chinese","2.6","2,940"
"Medical","Mixed","3.5","3,975"
"Medical","White","54.0","62,135"
"Medical","Other","4.6","5,351"
"Medical","Unknown","N/A","11,354"
"Non-Medical","All","100.0","1,163,358"
"Non-Medical","Asian","8.7","96,645"
"Non-Medical","Black","6.6","73,335"
"Non-Medical","Chinese","0.4","3,991"
"Non-Medical","Mixed","1.7","18,869"
"Non-Medical","White","80.3","895,037"
"Non-Medical","Other","2.3","26,108"
"Non-Medical","Unknown","N/A","49,373"
