"","Asian","","Black","","Chinese","","Mixed","","White","","Other","","Ethnic minority (exc. White minorities)",""
"Grade","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"Graduate entry grades","","","","","","","","","","","","","",""
"Very Senior Manager","4.2","80","1.0","19","0.2","4","0.7","13","93.6","1,783","0.3","6","6.4","122"
"Band 9","3.4","49","1.7","25","0.2","3","1.4","20","92.7","1,331","0.6","8","7.3","105"
"Band 8d","3.6","133","2.2","82","0.4","15","1.0","39","92.4","3,449","0.4","14","7.6","283"
"Band 8c","4.2","333","2.4","186","0.4","32","1.2","92","91.2","7,159","0.6","50","8.8","693"
"Band 8b","5.2","802","3.1","485","0.6","97","1.2","179","89.1","13,744","0.8","118","10.9","1,681"
"Band 8a","6.5","2,579","3.7","1,469","0.6","257","1.4","546","86.7","34,425","1.0","411","13.3","5,262"
"Band 7","6.1","6,954","4.7","5,343","0.6","639","1.3","1,490","85.9","98,163","1.4","1,656","14.1","16,082"
"Band 6","7.0","14,142","5.9","11,967","0.4","887","1.4","2,894","83.1","167,277","2.0","4,009","16.9","33,899"
"Band 5","10.9","22,963","7.9","16,674","0.4","817","1.7","3,541","76.0","160,557","3.2","6,783","24.0","50,778"
"Non-graduate entry grades","","","","","","","","","","","","","",""
"Band 4","6.1","5,637","4.9","4,542","0.3","247","1.6","1,436","86.1","79,340","1.0","966","13.9","12,828"
"Band 3","6.2","8,762","6.2","8,757","0.2","269","1.5","2,148","84.6","119,682","1.3","1,882","15.4","21,818"
"Band 2","7.8","13,732","6.3","11,002","0.2","312","1.6","2,799","82.2","144,646","2.0","3,485","17.8","31,330"
"Band 1","9.3","3,127","7.1","2,366","0.2","66","1.6","543","79.6","26,712","2.2","724","20.4","6,826"
"Unspecified","","","","","","","","","","","","","",""
"Other grades","7.9","1,142","5.5","805","0.3","41","1.8","255","83.2","12,076","1.3","189","16.8","2,432"
