"","Asian","","","Black","","","Mixed","","","White","","","Other inc Chinese","","","Unknown","",""
"Geography","% officers","% population","Number of police officers","% officers","% population","Number of police officers","% officers","% population","Number of police officers","% officers","% population","Number of police officers","% officers","% population","Number of police officers","% officers","% population","Number of police officers"
"All - excluding BTP","2.9","6.8","3,475","1.2","3.3","1,492","2.1","2.2","2,473","93.1","86.0","111,695","0.7","1.7","888","N/A","N/A","3,148"
"Avon & Somerset","0.4","2.1","10","0.4","1.9","10","2.2","1.8","52","96.8","93.3","2,351","0.3","1.0","7","N/A","N/A","246"
"Bedfordshire","5.4","13.2","63","1.5","4.8","17","3.1","3.0","36","90.0","77.5","1,035","0.0","1.4","0","N/A","N/A","13"
"British Transport Police","4.3","N/A","119","2.6","N/A","72","2.7","N/A","74","89.9","N/A","2,479","0.5","N/A","14","N/A","N/A","85"
"Cambridgeshire","1.3","4.9","19","0.5","1.3","8","2.0","2.0","29","95.8","90.3","1,372","0.3","1.6","4","N/A","N/A","15"
"Cheshire","0.5","1.2","9","0.3","0.3","5","0.9","1.0","17","98.3","96.9","1,899","0.1","0.5","2","N/A","N/A","75"
"Cleveland","1.0","3.1","12","0.4","0.6","5","0.1","1.0","1","98.3","94.5","1,156","0.2","0.8","2","N/A","N/A","22"
"Cumbria","0.3","0.6","3","0.2","0.1","2","0.6","0.5","7","98.9","98.5","1,123","0.0","0.3","0","N/A","N/A","25"
"Derbyshire","2.0","3.6","36","0.3","1.0","5","0.9","1.4","16","96.6","93.3","1,702","0.2","0.7","3","N/A","N/A","5"
"Devon & Cornwall","0.1","0.7","3","0.3","0.2","6","1.0","0.9","25","98.4","97.5","2,338","0.2","0.6","5","N/A","N/A","623"
"Dorset","0.3","1.4","3","0.2","0.4","2","1.2","1.3","14","98.3","96.0","1,110","0.1","0.8","1","N/A","N/A","94"
"Durham","0.4","0.8","4","0.1","0.2","1","1.1","0.7","12","98.4","97.8","1,098","0.1","0.5","1","N/A","N/A","2"
"Dyfed-Powys","0.2","0.8","2","0.1","0.2","1","0.7","0.6","6","98.9","98.0","905","0.1","0.4","1","N/A","N/A","230"
"Essex","0.4","2.3","11","0.2","2.0","5","1.9","1.6","56","97.4","93.2","2,934","0.2","0.9","7","N/A","N/A","58"
"Gloucestershire","0.8","1.8","8","0.4","0.9","4","1.2","1.5","12","97.5","95.4","1,012","0.2","0.5","2","N/A","N/A","35"
"Greater Manchester","4.0","9.2","254","0.8","2.8","48","2.0","2.3","128","92.7","83.8","5,940","0.6","2.0","36","N/A","N/A","38"
"Gwent","0.9","1.7","11","0.5","0.6","6","0.6","1.0","8","97.7","96.1","1,240","0.3","0.6","4","N/A","N/A","40"
"Hampshire","0.9","3.0","24","0.3","0.9","8","1.3","1.6","33","96.9","93.3","2,518","0.6","1.1","16","N/A","N/A","98"
"Hertfordshire","1.5","5.7","31","0.8","2.8","16","2.1","2.5","43","95.5","87.6","1,902","0.1","1.4","1","N/A","N/A","17"
"Humberside","0.6","1.3","12","0.4","0.5","8","0.6","0.9","12","98.3","96.5","1,844","0.1","0.8","1","N/A","N/A","12"
"Kent","1.3","3.1","47","0.3","1.3","10","1.6","1.6","56","96.5","93.1","3,377","0.3","0.9","9","N/A","N/A","54"
"Lancashire","2.8","7.4","76","0.1","0.4","3","1.9","1.1","52","95.0","90.4","2,620","0.2","0.7","5","N/A","N/A","139"
"Leicestershire","4.9","15.3","87","0.6","2.4","11","2.2","2.0","39","92.2","78.4","1,644","0.1","1.9","2","N/A","N/A","47"
"Lincolnshire","0.5","0.8","5","0.6","0.4","6","0.9","0.9","10","97.9","97.6","1,064","0.2","0.4","2","N/A","N/A","9"
"London, City of","2.4","9.2","18","1.8","2.6","13","2.1","3.9","16","93.4","78.6","688","0.3","5.7","2","N/A","N/A","3"
"Merseyside","0.4","1.4","15","0.5","1.1","18","2.1","1.5","71","96.4","94.5","3,231","0.5","1.6","17","N/A","N/A","44"
"Metropolitan Police","5.9","17.0","1,752","3.5","13.3","1,037","3.5","5.0","1,034","85.0","59.8","25,384","2.2","5.0","659","N/A","N/A","570"
"Norfolk","0.4","1.1","6","0.6","0.5","10","0.9","1.2","15","97.9","96.5","1,550","0.2","0.6","3","N/A","N/A","26"
"North Wales","0.2","0.9","3","0.1","0.2","1","0.6","0.7","9","99.1","97.5","1,419","0.1","0.6","1","N/A","N/A","26"
"North Yorkshire","0.7","1.2","10","0.1","0.5","1","0.9","0.9","12","98.2","96.6","1,338","0.1","0.8","1","N/A","N/A","16"
"Northamptonshire","1.2","3.3","14","0.9","2.4","11","1.6","2.0","19","96.1","91.5","1,092","0.1","0.8","1","N/A","N/A","50"
"Northumbria","0.5","2.7","15","0.1","0.6","3","1.1","0.9","33","98.2","94.6","2,932","0.1","1.3","4","N/A","N/A","94"
"Nottinghamshire","2.4","4.4","46","0.9","2.5","17","1.9","2.8","35","94.6","88.8","1,806","0.3","1.4","5","N/A","N/A","27"
"South Wales","0.7","2.8","20","0.2","1.0","5","1.4","1.4","42","97.4","93.4","2,891","0.3","1.5","9","N/A","N/A","20"
"South Yorkshire","2.0","4.1","46","0.4","1.9","10","1.3","1.5","30","96.3","90.6","2,267","0.1","1.8","2","N/A","N/A","14"
"Staffordshire","1.2","3.2","19","0.4","0.8","7","1.1","1.3","17","97.2","94.1","1,518","0.0","0.7","0","N/A","N/A","6"
"Suffolk","0.3","1.5","4","0.3","0.9","4","2.3","1.7","27","96.8","95.2","1,119","0.2","0.6","2","N/A","N/A","17"
"Surrey","1.3","4.8","24","0.6","1.1","12","2.1","2.1","38","95.3","90.4","1,730","0.6","1.7","10","N/A","N/A","67"
"Sussex","0.4","2.5","11","0.2","0.9","6","1.5","1.9","38","97.4","93.7","2,426","0.3","1.0","9","N/A","N/A","139"
