"Ethnicity","Rank","% 2007 ","Number 2007","% 2019","Number 2019"
"Asian","Chief Officer","2.0","4","1.5","3"
"Asian","Chief Superintendent","1.3","6","2.6","8"
"Asian","Superintendent","1.0","10","1.3","12"
"Asian","Chief Inspector","1.0","18","1.6","27"
"Asian","Inspector","1.0","72","2.2","125"
"Asian","Sergeant","1.1","235","2.1","396"
"Asian","Constable","1.6","1,766","3.1","2,929"
"Black","Chief Officer","0.5","1","0.5","1"
"Black","Chief Superintendent","0.6","3","1.0","3"
"Black","Superintendent","0.8","8","1.0","9"
"Black","Chief Inspector","0.5","10","0.7","11"
"Black","Inspector","0.5","36","0.8","43"
"Black","Sergeant","0.8","179","0.9","172"
"Black","Constable","1.0","1,113","1.4","1,268"
"Mixed","Chief Officer","1.0","2","0.5","1"
"Mixed","Chief Superintendent","0.6","3","1.3","4"
"Mixed","Superintendent","0.5","5","1.9","17"
"Mixed","Chief Inspector","1.2","22","1.4","23"
"Mixed","Inspector","0.7","49","1.5","85"
"Mixed","Sergeant","0.7","162","1.7","309"
"Mixed","Constable","1.1","1,176","2.2","2,052"
"White","Chief Officer","96.6","196","97.5","192"
"White","Chief Superintendent","97.2","456","94.8","294"
"White","Superintendent","97.4","954","95.6","855"
"White","Chief Inspector","97.2","1,778","96.3","1,618"
"White","Inspector","97.5","6,790","95.1","5,325"
"White","Sergeant","97.0","21,026","94.8","17,584"
"White","Constable","95.7","103,172","92.5","86,413"
"Other inc Chinese","Chief Officer","0.0","0","0.0","0"
"Other inc Chinese","Chief Superintendent","0.2","1","0.3","1"
"Other inc Chinese","Superintendent","0.2","2","0.1","1"
"Other inc Chinese","Chief Inspector","0.1","2","0.1","2"
"Other inc Chinese","Inspector","0.2","16","0.4","24"
"Other inc Chinese","Sergeant","0.3","65","0.5","89"
"Other inc Chinese","Constable","0.5","546","0.8","776"
"Unknown","Chief Officer","N/A","3","N/A","21"
"Unknown","Chief Superintendent","N/A","0","N/A","8"
"Unknown","Superintendent","N/A","8","N/A","23"
"Unknown","Chief Inspector","N/A","18","N/A","35"
"Unknown","Inspector","N/A","69","N/A","113"
"Unknown","Sergeant","N/A","283","N/A","342"
"Unknown","Constable","N/A","1,618","N/A","2,691"
