"Gender","Ethnicity","% 2007","Number 2007","% 2020","Number 2020"
"Female","Asian","1.2","402","2.08","818"
"Female","Black","1.1","359","1.17","462"
"Female","Mixed","1.2","393","2.03","801"
"Female","White","96.1","31,463","94.03","37,028"
"Female","Other inc Chinese","0.4","130","0.69","271"
"Female","Unknown","N/A","371","N/A","940"
"Male","Asian","1.6","1,709","3.55","3,065"
"Male","Black","0.9","991","1.30","1,124"
"Male","Mixed","1.0","1,026","2.21","1,910"
"Male","White","96.1","102,909","92.10","79,508"
"Male","Other inc Chinese","0.5","502","0.84","723"
"Male","Unknown","N/A","1,628","N/A","2,461"
