"Ethnicity","Rank","% 2007 ","Number 2007","% 2020","Number 2020"
"Asian","Chief Officer","2.0","4","1.5","3"
"Asian","Chief Superintendent","1.3","6","2.0","6"
"Asian","Superintendent","1.0","10","1.7","15"
"Asian","Chief Inspector","1.0","18","1.8","31"
"Asian","Inspector","1.0","72","2.3","128"
"Asian","Sergeant","1.1","235","2.2","412"
"Asian","Constable","1.6","1,766","3.3","3,289"
"Black","Chief Officer","0.5","1","0.0","0"
"Black","Chief Superintendent","0.6","3","1.3","4"
"Black","Superintendent","0.8","8","1.0","9"
"Black","Chief Inspector","0.5","10","0.7","12"
"Black","Inspector","0.5","36","0.7","38"
"Black","Sergeant","0.8","179","0.8","151"
"Black","Constable","1.0","1,113","1.4","1,373"
"Mixed","Chief Officer","1.0","2","0.5","1"
"Mixed","Chief Superintendent","0.6","3","2.3","7"
"Mixed","Superintendent","0.5","5","1.8","16"
"Mixed","Chief Inspector","1.2","22","1.5","25"
"Mixed","Inspector","0.7","49","1.6","91"
"Mixed","Sergeant","0.7","162","1.6","288"
"Mixed","Constable","1.1","1,176","2.3","2,283"
"White","Chief Officer","96.6","196","98.0","200"
"White","Chief Superintendent","97.2","456","94.1","285"
"White","Superintendent","97.4","954","95.5","864"
"White","Chief Inspector","97.2","1,778","95.8","1,623"
"White","Inspector","97.5","6,790","95.0","5,253"
"White","Sergeant","97.0","21,026","94.9","17,493"
"White","Constable","95.7","103,172","92.1","90,818"
"Other inc Chinese","Chief Officer","0.0","0","0.0","0"
"Other inc Chinese","Chief Superintendent","0.2","1","0.3","1"
"Other inc Chinese","Superintendent","0.2","2","0.1","1"
"Other inc Chinese","Chief Inspector","0.1","2","0.2","3"
"Other inc Chinese","Inspector","0.2","16","0.4","21"
"Other inc Chinese","Sergeant","0.3","65","0.5","99"
"Other inc Chinese","Constable","0.5","546","0.9","868"
"Unknown","Chief Officer","N/A","3","N/A","27"
"Unknown","Chief Superintendent","N/A","0","N/A","12"
"Unknown","Superintendent","N/A","8","N/A","32"
"Unknown","Chief Inspector","N/A","18","N/A","38"
"Unknown","Inspector","N/A","69","N/A","123"
"Unknown","Sergeant","N/A","283","N/A","384"
"Unknown","Constable","N/A","1,618","N/A","2,785"
