"Time","Ethnicity","% Prison officers","Number of prison officers"
"2015","All","N/A","18,958"
"2015","Asian","1.2","206"
"2015","Black","2.3","401"
"2015","Mixed","1.2","199"
"2015","White","94.6","16,180"
"2015","Other","0.7","121"
"2015","Unknown","N/A","1,851"
"2016","All","N/A","19,089"
"2016","Asian","1.3","206"
"2016","Black","2.4","396"
"2016","Mixed","1.3","213"
"2016","White","94.4","15,525"
"2016","Other","0.7","108"
"2016","Unknown","N/A","2,641"
"2017","All","N/A","19,174"
"2017","Asian","1.3","204"
"2017","Black","2.6","410"
"2017","Mixed","1.3","214"
"2017","White","94.2","14,992"
"2017","Other","0.6","100"
"2017","Unknown","N/A","3,254"
"2018","All","N/A","21,821"
"2018","Asian","1.3","182"
"2018","Black","2.7","387"
"2018","Mixed","1.3","190"
"2018","White","94.2","13,661"
"2018","Other","0.6","83"
"2018","Unknown","N/A","7,318"
"2019","All","N/A","23,461"
"2019","Asian","1.6","262"
"2019","Black","3.1","505"
"2019","Mixed","1.7","276"
"2019","White","93.1","15,269"
"2019","Other","0.6","96"
"2019","Unknown","N/A","7,053"
"2020","All","N/A","22,803"
"2020","Asian","1.8","338"
"2020","Black","3.4","628"
"2020","Mixed","2.0","363"
"2020","White","92.3","17,061"
"2020","Other","0.6","102"
"2020","Unknown","N/A","4,311"
