"","Classroom","","Deputies and assistants","","Heads",""
"Ethnicity","%","Teachers","%","Teachers","%","Teachers"
"Asian","","","","","",""
"Bangladeshi","0.7","2,800","0.3","100","0.1","!"
"Indian","2.0","8,000","1.5","700","0.8","200"
"Pakistani","1.3","5,300","0.7","300","0.4","100"
"Asian other","0.7","2,900","0.4","200","0.2","100"
"Black","","","","","",""
"Black African","1.0","3,900","0.4","200","0.2","!"
"Black Caribbean","1.1","4,300","1.0","500","0.7","200"
"Black other","0.4","1,400","0.2","100","0.1","!"
"Mixed","","","","","",""
"Mixed White/Asian","0.4","1,500","0.3","100","0.3","100"
"Mixed White/Black African","0.1","600","0.1","!","0.1","!"
"Mixed White/Black Caribbean","0.4","1,600","0.3","100","0.2","!"
"Mixed other","0.6","2,200","0.4","200","0.3","100"
"White","","","","","",""
"White British","84.9","334,600","89.7","41,800","92.7","19,500"
"White Irish","1.5","5,700","1.7","800","1.8","400"
"White other","4.1","16,200","2.4","1,100","1.8","400"
"Other inc Chinese","","","","","",""
"Chinese","0.2","800","0.1","!","!","!"
"Any other","0.6","2,600","0.4","200","0.2","!"
"Unknown","N/A","34,500","N/A","3,000","N/A","1,300"
